No,Category,Pattern_Name,Description,AI_Model_Type,Do,Don't,Code_Good,Code_Bad,Severity,User_Trust_Level,Latency_Budget,Docs_URL
1,Chat UI,Message Bubble Layout,Distinct visual separation between user and AI messages,LLM,Align user right and AI left with different bg colors,Use same style for both — confusing who said what,User: bg-blue-500 text-white ml-auto; AI: bg-gray-100 text-gray-900,Same gray bubble for both user and AI,High,n/a,n/a,
2,Chat UI,Streaming Response,Show tokens as they arrive — not wait for full response,LLM,Stream tokens with cursor/typing indicator at end,Wait for complete response then show all at once — feels broken,EventSource: onmessage append to DOM progressively,await fetch() then show entire response,Critical,builds-trust,<200ms first token,https://developer.mozilla.org/en-US/docs/Web/API/Server-sent_events
3,Chat UI,Thinking Indicator,Show AI is processing before first token arrives,LLM,Animated dots or shimmer with 'Thinking...' label,Blank screen while waiting — user thinks it crashed,<div class='thinking'><span class='dot-pulse'></span> Thinking...</div>,No indicator — just empty chat,High,builds-trust,<2s before indicator,
4,Chat UI,Message Actions,Copy/retry/thumbs-up/down on AI responses,LLM,Show action buttons on hover/focus for each message,No way to copy or rate responses,Hover: [📋 Copy] [🔄 Retry] [👍] [👎],Plain text with no interaction options,Medium,feedback,n/a,
5,Chat UI,Input Area,Multi-line input with send button and keyboard shortcut,LLM,Enter to send + Shift+Enter for newline + send button,Single-line input with no keyboard shortcut,<textarea> with Ctrl+Enter to send or Enter for single-line,<input type='text'> for chat — no multiline,High,n/a,n/a,
6,Chat UI,Context Window Indicator,Show user how much context/history is being used,LLM,Subtle indicator showing conversation length vs limit,No indication — user confused when AI forgets earlier context,Token counter: '4.2K / 128K tokens used',No context indicator — user unaware of limits,Medium,transparency,n/a,
7,Streaming,Token-by-Token Render,Render each token as it arrives from the API,LLM,Append tokens smoothly at consistent render speed,Buffer and dump chunks — looks laggy and jarring,reader.read().then(chunk => appendToDOM(chunk)),Collect all chunks then innerHTML = fullResponse,High,builds-trust,16ms per frame,
8,Streaming,Markdown Rendering,Parse and render markdown in streaming responses,LLM,Incrementally parse markdown as tokens arrive,Wait for full markdown then render — delays visibility,Use streaming-capable markdown parser (marked.js incremental),Parse markdown only after stream completes,High,n/a,n/a,https://marked.js.org/
9,Streaming,Code Block Detection,Detect and syntax-highlight code blocks in real-time,LLM,Detect ``` boundaries and apply syntax highlighting live,Show raw markdown code fences until complete,Detect opening ``` and switch to code rendering mode,Show raw ``` and language tag during stream,Medium,n/a,n/a,
10,Streaming,Error Recovery,Handle stream interruptions gracefully,LLM,Show partial response + retry button on stream failure,Clear everything on error — user loses partial response,Show partial text + 'Stream interrupted. [Retry from here]',Error: clear chat and show 'Something went wrong',Critical,maintains-trust,n/a,
11,Confidence,Confidence Indicator,Show AI certainty level for factual claims,LLM,Display subtle confidence badges: High/Medium/Low,Present all responses with equal confidence — misleading,<span class='confidence high'>✓ High confidence</span>,No indication of certainty level,High,builds-trust,n/a,
12,Confidence,Source Citation,Link claims to source documents or URLs,RAG/LLM,Inline citations with clickable references: [1] [2],Make claims without any source attribution,Claim text [1]. Sources: [1] https://docs.example.com,AI states facts with no provenance,High,builds-trust,n/a,
13,Confidence,Hallucination Warning,Alert users when AI might be making things up,LLM,Add disclaimer for creative/uncertain responses,Present all outputs as equally factual — dangerous,⚠️ 'This response may contain inaccuracies. Verify critical info.',AI presents hallucinated data as fact,Critical,maintains-trust,n/a,
14,Confidence,Knowledge Cutoff,Show what time period the AI was trained on,LLM,Display training data cutoff date clearly,Imply AI has current real-time knowledge,ℹ️ 'Knowledge current through April 2024',No data freshness indicator,Medium,transparency,n/a,
15,Human-in-Loop,Approval Gate,Require human approval before executing actions,Agent/Tool,Show preview of action and ask for confirmation before executing,Auto-execute actions without user consent — dangerous,Preview: 'Send email to 50 contacts?' [Approve] [Cancel],AI sends email automatically without asking,Critical,safety,n/a,
16,Human-in-Loop,Edit Before Submit,Allow users to edit AI-generated content before sending/saving,LLM,Show editable draft with submit button,Auto-submit AI output without review,Editable textarea with AI draft + 'Send as-is' or 'Edit first',Auto-post AI-generated social media content,High,control,n/a,
17,Human-in-Loop,Undo/Rollback,Allow users to undo AI actions,Agent/Tool,Provide undo for all AI-initiated changes within Ns,Make AI actions irreversible — user fear of using AI,Toast: 'Email sent. [Undo - 10s]',AI deletes files with no undo option,Critical,safety,n/a,
18,Human-in-Loop,Escalation Path,Let users escalate from AI to human support,LLM/Agent,Clear 'Talk to a human' button always visible,Trap users in AI loop with no human escape,<button>Connect with a human agent</button> always visible,AI chatbot with no way to reach human support,High,trust-safety,n/a,
19,Loading,Skeleton for AI Content,Show content-shaped placeholder while AI generates,LLM,Use skeleton matching expected output shape,Use generic spinner for AI responses,Skeleton: paragraph lines + potential code block shape,Spinner with 'Please wait...' for 30 seconds,High,n/a,<1s,
20,Loading,Progressive Enhancement,Show sections as they become available,Multi-step,Render completed sections immediately while others load,Wait for all sections then show everything at once,Section 1: ✅ shown | Section 2: loading... | Section 3: pending,Loading screen until ALL 5 analyses complete,High,builds-trust,n/a,
21,Loading,Estimated Time,Show how long AI processing will take,Long-running,Display estimated wait time for operations > 5 seconds,No time estimate — user doesn't know how long to wait,'Generating report... ~30 seconds remaining',Spinner with no time indication for 2-minute task,Medium,transparency,n/a,
22,Input,Prompt Suggestions,Show example prompts to help users get started,LLM,Display 3-4 clickable prompt suggestions on empty state,Empty input with no guidance — user stares at blank box,Cards: 'Summarize this doc' | 'Find bugs in code' | 'Explain concept',Empty chat with just a text input — intimidating,High,onboarding,n/a,
23,Input,Prompt Templates,Pre-built prompt templates for common tasks,LLM,Offer template gallery with fill-in-the-blank prompts,Only free-form input — no guidance for new users,Template: 'Write a [type] about [topic] in [tone] style',No templates — user must craft prompts from scratch,Medium,onboarding,n/a,
24,Input,File/Image Upload,Allow users to attach context for AI processing,Multimodal,Support drag-and-drop + click upload with preview,Text-only input for multimodal AI — wastes capability,Drop zone: 'Drag files here or click to upload' + preview,No file upload for vision-capable AI model,Medium,n/a,n/a,
25,Input,Voice Input,Microphone input for voice-to-text prompts,LLM,Mic button with visual feedback during recording,No voice option on mobile — typing long prompts is painful,🎤 button with waveform animation during recording,Keyboard-only input on mobile devices,Low,n/a,<500ms recognition,
26,Output,Structured Output,Display AI output in structured formats (tables/lists/cards),LLM,Render tables as HTML tables and lists as proper lists,Dump everything as plain text — hard to scan,"if(type==='table') renderTable(data); if(type==='list') renderList(data)",All output as <p> paragraphs regardless of content type,High,n/a,n/a,
27,Output,Code Output,Syntax-highlighted copyable code blocks,LLM,One-click copy button + syntax highlighting + language label,Plain text code with no formatting or copy option,<pre><code class='language-python'>...</code><button>Copy</button></pre>,<p>def hello(): print('hi')</p> in paragraph tag,High,n/a,n/a,
28,Output,Comparison View,Side-by-side before/after for AI edits,LLM,Show diff view with highlighted changes,Show only final version — user can't see what changed,Diff view: red deletions + green additions side-by-side,Only show final text — user must manually compare,Medium,transparency,n/a,
29,Safety,Content Filter UI,Show when content has been filtered or refused,LLM,Explain why content was filtered with alternative suggestions,Just say 'I can't do that' with no explanation,ℹ️ 'This request was filtered because [reason]. Try: [alternative]','I cannot help with that.' (no reason given),High,transparency,n/a,
30,Safety,Rate Limiting UI,Show users when they've hit usage limits,LLM/API,Clear message with reset time and upgrade path,Silent failure or cryptic error on rate limit,'You've used 50/50 messages today. Resets in 3h. [Upgrade]',HTTP 429 with no user-friendly message,High,transparency,n/a,
31,Safety,Data Privacy Notice,Show what data is sent to AI and how it's used,LLM,Clear privacy indicator showing what data AI accesses,Send user data to AI with no disclosure,🔒 'Your data is processed by [model]. Not used for training.',No mention of data handling — user distrust,Critical,trust-safety,n/a,
32,Personalization,Memory/Preferences,Show what the AI remembers about the user,LLM,Manageable memory panel where users can view/delete stored prefs,Silently remember everything — creepy,Settings: 'AI Memory' with list of remembered facts + delete buttons,AI uses personal data with no user visibility,High,trust-safety,n/a,
33,Personalization,Tone/Style Selector,Let users choose AI communication style,LLM,Offer tone presets: Professional/Casual/Technical/Creative,One fixed tone — doesn't match all user preferences,Dropdown: [Professional] [Casual] [Technical] [Creative],Fixed corporate tone for all users,Low,personalization,n/a,
34,Multi-turn,Conversation History,Show searchable conversation history,LLM,Sidebar with saved conversations searchable by content,No history — every session starts fresh,Left sidebar: conversation list with search and date grouping,No conversation history — user loses all context,High,n/a,n/a,
35,Multi-turn,Branch Conversations,Allow users to fork conversation from any point,LLM,Allow clicking any message to create a branch from that point,Linear-only conversations — can't explore alternatives,Click message → 'Branch from here' → new conversation fork,No branching — must start new chat to try different approach,Medium,n/a,n/a,
