No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Dark Primary,Dark Secondary,Dark CTA,Dark Background,Dark Text,Dark Border,Gradient,Notes
53,Construction,"construction, architecture, building, contractor, blueprint, civil",#475569,#64748B,#F97316,#F8FAFC,#1E293B,#E2E8F0,#64748B,#94A3B8,#FB923C,#1E293B,#F8FAFC,#334155,linear-gradient(135deg; #475569; #64748B),"Steel grey = industrial. Safety orange CTA. Blueprint blue (#2563EB) for plans. Hard hat yellow accent."
54,Automotive,"automotive, car, vehicle, dealership, auto, motor",#1E293B,#334155,#DC2626,#F8FAFC,#0F172A,#E2E8F0,#334155,#475569,#EF4444,#0A0F18,#F8FAFC,#1E293B,linear-gradient(135deg; #1E293B; #334155),"Metallic dark palette. Red CTA = test-drive/contact. Silver/chrome accents. Brand color adaptation."
55,Photography,"photography, studio, photo, visual, gallery, portfolio",#18181B,#27272A,#FFFFFF,#FFFFFF,#18181B,#E4E4E7,#27272A,#3F3F46,#FFFFFF,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #09090B),"Pure B&W lets photos speak. Minimal accent. Clean gallery grid. White space = sophistication."
56,Coworking,"coworking, space, shared-office, flex-space, community-workspace",#F97316,#FB923C,#2563EB,#FFFFFF,#1E293B,#E2E8F0,#FB923C,#FDBA74,#3B82F6,#1C0F00,#FFF7ED,#7C2D12,linear-gradient(135deg; #F97316; #FB923C),"Energetic orange = collaboration. Blue CTA = book/tour. Wood tones for warmth. Community-focused palette."
57,Cleaning Service,"cleaning, service, maid, janitorial, sanitize, fresh",#0EA5E9,#38BDF8,#10B981,#F0F9FF,#0C4A6E,#BAE6FD,#38BDF8,#7DD3FC,#34D399,#082F49,#E0F2FE,#0C4A6E,linear-gradient(135deg; #0EA5E9; #10B981),"Fresh blue = clean. Green CTA = book now. White space = purity. Sparkling accents. Light airy feel."
58,Home Services,"home-services, plumber, electrician, handyman, repair, maintenance",#0F172A,#334155,#F97316,#F8FAFC,#020617,#E2E8F0,#1E293B,#475569,#FB923C,#020617,#F8FAFC,#1E293B,linear-gradient(135deg; #0F172A; #334155),"Trust navy = reliability. Safety orange CTA = book/call. Tool-themed accents. Professional and clean."
59,Childcare/Daycare,"childcare, daycare, kids, nursery, preschool, toddler",#F472B6,#FBCFE8,#F97316,#FFF1F2,#831843,#FCE7F3,#F9A8D4,#FBCFE8,#FB923C,#2D0A1B,#FFF1F2,#831843,linear-gradient(135deg; #F472B6; #FBCFE8),"Soft pastels = safe/warm. Orange CTA = enroll. Playful rounded shapes. Primary colors for activities."
60,Senior Care,"senior-care, elderly, aging, assisted-living, retirement",#3B82F6,#60A5FA,#059669,#F8FAFC,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#10B981,#0F172A,#F8FAFC,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Calm blue + warm neutrals. Green CTA = care/contact. LARGE text 18px min. High contrast WCAG AAA. No tiny UI."
61,Medical Clinic,"medical-clinic, doctor, hospital, primary-care, urgent-care",#0077B6,#0096C7,#059669,#F0F9FF,#023E5E,#BAE6FD,#0096C7,#48CAE4,#10B981,#012A3E,#E0F2FE,#023E5E,linear-gradient(135deg; #0077B6; #0096C7),"Medical blue = trust/clinical. Green CTA = book appointment. Clean white layouts. Avoid anxiety-inducing red."
62,Pharmacy,"pharmacy, drugstore, prescription, medicine, rx",#15803D,#22C55E,#0369A1,#F0FDF4,#14532D,#BBF7D0,#22C55E,#4ADE80,#0EA5E9,#052E16,#ECFDF5,#14532D,linear-gradient(135deg; #15803D; #22C55E),"Pharmacy green = health. Blue CTA = order/refill. Clean clinical white. Cross icon green."
63,Dental Practice,"dental, dentist, orthodontics, smile, oral-health",#0EA5E9,#38BDF8,#059669,#F0F9FF,#0C4A6E,#BAE6FD,#38BDF8,#7DD3FC,#10B981,#082F49,#E0F2FE,#0C4A6E,linear-gradient(135deg; #0EA5E9; #38BDF8),"Fresh blue = clean/clinical. Green CTA = book. White = bright smiles. Yellow accent for smile/friendly."
64,Veterinary,"veterinary, vet, animal-hospital, pet-care, animal-health",#3B82F6,#60A5FA,#10B981,#EFF6FF,#1E3A8A,#DBEAFE,#60A5FA,#93C5FD,#34D399,#0C1A3A,#EFF6FF,#1E3A8A,linear-gradient(135deg; #3B82F6; #10B981),"Trust blue + care green. Green CTA = book visit. Pet paw accent icons. Warm friendly tone."
65,Florist/Plants,"florist, plant, garden, nursery, botanical, green-thumb",#15803D,#22C55E,#EC4899,#F0FDF4,#14532D,#BBF7D0,#22C55E,#4ADE80,#F472B6,#052E16,#ECFDF5,#14532D,linear-gradient(135deg; #15803D; #EC4899),"Natural green. Pink CTA = order/gift. Floral pinks and earth tones. Botanical imagery driven."
66,Bakery/Cafe,"bakery, cafe, pastry, dessert, coffee-shop, confectionery",#92400E,#B45309,#DC2626,#FFFBEB,#78350F,#FDE68A,#B45309,#D97706,#EF4444,#2A1605,#FFF7ED,#78350F,linear-gradient(135deg; #92400E; #B45309),"Warm brown = baked goods. Red CTA = order. Cream/butter backgrounds. Appetizing warm tones."
67,Coffee Shop,"coffee, espresso, cafe, roast, barista, brew",#6F4E37,#8B6F47,#D97706,#FAF5EB,#3E2C20,#E5D5C5,#8B6F47,#A68B67,#EAB308,#1E150E,#FAF5EB,#4A3728,linear-gradient(135deg; #6F4E37; #8B6F47),"Coffee brown = authentic. Amber CTA = order/try. Cream backgrounds. Bean texture patterns. Warm cozy feel."
68,Brewery/Winery,"brewery, winery, beer, wine, craft, spirits, distillery",#7F1D1D,#991B1B,#CA8A04,#FEF2F2,#450A0A,#FECACA,#991B1B,#B91C1C,#EAB308,#2A0808,#FEF2F2,#7F1D1D,linear-gradient(135deg; #7F1D1D; #44403C),"Deep burgundy/amber = craft. Gold CTA = taste/reserve. Barrel wood tones. Vintage label aesthetic."
69,Airline,"airline, aviation, flight, airport, travel, sky, carrier",#1E3A8A,#2563EB,#06B6D4,#F0F9FF,#1E40AF,#BFDBFE,#2563EB,#3B82F6,#22D3EE,#0C1222,#F0F9FF,#1E3A8A,linear-gradient(135deg; #1E3A8A; #0EA5E9),"Sky blue gradient = flight. Cyan CTA = book/check-in. Cloud white backgrounds. Trust navy for nav."
70,News/Media,"news, media, journalism, press, publication, breaking",#18181B,#27272A,#DC2626,#FFFFFF,#18181B,#E4E4E7,#27272A,#3F3F46,#EF4444,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #27272A),"Bold black = authority. Red = breaking/urgent. Category colors for sections. High-contrast text."
71,Magazine/Blog,"magazine, blog, editorial, publication, content, journal",#18181B,#3F3F46,#2563EB,#FFFFFF,#18181B,#E4E4E7,#27272A,#52525B,#3B82F6,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #3F3F46),"Editorial monochrome. Blue CTA = subscribe/read. Typography-driven. Content provides color."
72,Freelancer Platform,"freelancer, gig, upwork, fiverr, independent, contract",#0F172A,#334155,#10B981,#F8FAFC,#020617,#E2E8F0,#1E293B,#475569,#34D399,#020617,#F8FAFC,#1E293B,linear-gradient(135deg; #0F172A; #1E293B),"Professional navy. Green CTA = hire/apply. Success indicators. Skill badge colors."
73,Consulting Firm,"consulting, advisory, management, strategy, professional-services",#0F172A,#1E293B,#CA8A04,#F8FAFC,#020617,#CBD5E1,#1E293B,#334155,#EAB308,#020617,#F8FAFC,#0F172A,linear-gradient(135deg; #0F172A; #1E293B),"Navy + gold = prestige/authority. Conservative. Serif typography. Minimal color distractions."
74,Marketing Agency,"marketing, agency, creative, branding, advertising, campaign",#EC4899,#F472B6,#06B6D4,#FDF2F8,#831843,#FBCFE8,#F472B6,#F9A8D4,#22D3EE,#1C0A14,#FDF2F8,#4C1D3A,linear-gradient(135deg; #EC4899; #06B6D4),"Bold creative colors. Cyan CTA = contact/start. Show creative capability through palette diversity."
75,Event Management,"event, management, conference, concert, festival, ticketing",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,#A78BFA,#C4B5FD,#FB923C,#1E0D30,#FAF5FF,#4C1D95,linear-gradient(135deg; #7C3AED; #A78BFA),"Event purple = excitement. Orange CTA = register/buy-tickets. Event theme overrides base palette."
76,Conference/Webinar,"conference, webinar, summit, seminar, virtual-event, symposium",#0F172A,#334155,#3B82F6,#F8FAFC,#020617,#E2E8F0,#1E293B,#475569,#60A5FA,#020617,#F8FAFC,#1E293B,linear-gradient(135deg; #0F172A; #334155),"Professional dark. Blue CTA = register/watch. Video accent colors. Speaker cards with brand colors."
77,Community/Membership,"community, membership, club, forum, group, association",#7C3AED,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,#A78BFA,#C4B5FD,#FB923C,#1E0D30,#FAF5FF,#4C1D95,linear-gradient(135deg; #7C3AED; #EC4899),"Purple = belonging. Orange CTA = join. Member tier colors (bronze/silver/gold/diamond). Engagement badges."
78,Newsletter,"newsletter, digest, email-list, subscribe, bulletin",#3B82F6,#60A5FA,#F97316,#FFFFFF,#1E293B,#E2E8F0,#60A5FA,#93C5FD,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #3B82F6; #60A5FA),"Clean white + brand blue. Orange CTA = subscribe. Minimal palette. Focus on content readability."
79,Digital Products,"digital-products, downloads, templates, assets, marketplace",#6366F1,#818CF8,#F97316,#EEF2FF,#1E1B4B,#C7D2FE,#818CF8,#A5B4FC,#FB923C,#0A0918,#E0E7FF,#312E81,linear-gradient(135deg; #6366F1; #818CF8),"Indigo = digital/tech. Orange CTA = buy/download. Category colors. Preview-first design."
80,Religious Organization,"church, mosque, temple, synagogue, spiritual, faith, religious",#1E3A8A,#3B82F6,#CA8A04,#F8FAFC,#0F172A,#E2E8F0,#3B82F6,#60A5FA,#EAB308,#0C1222,#F8FAFC,#1E3A8A,linear-gradient(135deg; #1E3A8A; #7C3AED),"Respectful navy/purple. Gold CTA = donate/join. Warm welcoming tones. Avoid commercial-feeling design."
81,Sports Team,"sports, team, club, athletics, league, fan, jersey",#DC2626,#EF4444,#1E293B,#FEF2F2,#7F1D1D,#FECACA,#EF4444,#FCA5A5,#F8FAFC,#1C0808,#FEF2F2,#7F1D1D,linear-gradient(135deg; #DC2626; #EF4444),"Team colors PRIMARY. Energetic. Dark CTA = buy tickets/shop. Scoreboard green/red. Fan engagement colors."
82,Museum/Gallery,"museum, gallery, exhibition, art, culture, heritage",#18181B,#3F3F46,#CA8A04,#FAFAFA,#18181B,#E4E4E7,#27272A,#52525B,#EAB308,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #3F3F46),"Art-neutral B&W. Gold CTA = visit/buy. Exhibition colors override base palette. Sophisticated minimal."
83,Theater/Cinema,"theater, cinema, film, movie, performing-arts, stage",#18181B,#27272A,#CA8A04,#0F0F23,#F8FAFC,#4C1D95,#27272A,#3F3F46,#EAB308,#0A0A0A,#F8FAFC,#1E1B4B,linear-gradient(135deg; #0F0F23; #18181B),"Dark curtain bg. Gold CTA = book seats. Spotlight yellow accent. Velvet red accent (#991B1B). Theatrical drama."
84,Language Learning,"language-learning, polyglot, duolingo, translation, bilingual",#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,#5EEAD4,#14B8A6,#5EEAD4,#F97316,#042F2E,#F0FDFA,#134E4A,linear-gradient(135deg; #0D9488; #2DD4BF),"Playful teal. Orange CTA = start lesson. Country flag colors for languages. Gamification: streaks gold. Progress green."
85,Coding Bootcamp,"coding, bootcamp, developer, programming, workshop, academy",#2563EB,#3B82F6,#10B981,#0F172A,#F8FAFC,#1E293B,#3B82F6,#60A5FA,#34D399,#050A15,#F8FAFC,#1E293B,linear-gradient(135deg; #0F172A; #2563EB),"Dark IDE theme. Blue primary. Green CTA = enroll/start. Syntax highlighting colors for decoration. Monospace font."
86,Cybersecurity,"cybersecurity, security, infosec, hacker, threat, soc, zero-trust",#00FF41,#0D0D0D,#FF3333,#000000,#E0E0E0,#1F1F1F,#00FF41,#33FF66,#FF3333,#000000,#E0E0E0,#0A0A0A,linear-gradient(135deg; #000000; #0D0D0D),"Matrix green on black. Red CTA = alert/scan. Terminal aesthetic. Avoid soft/playful. Tactical density."
87,Developer Tool/IDE,"developer-tool, ide, code-editor, cli, devtools, debugging",#3B82F6,#1E293B,#2563EB,#0F172A,#F1F5F9,#334155,#60A5FA,#334155,#3B82F6,#050A15,#F1F5F9,#1E293B,linear-gradient(135deg; #0F172A; #1E293B),"Dark syntax theme. Blue focus rings. Green success. Red errors. Yellow warnings. Mono font for code."
88,Biotech/Life Sciences,"biotech, life-science, genomics, pharmaceutical, research, dna",#0EA5E9,#0284C7,#10B981,#F8FAFC,#0F172A,#E2E8F0,#38BDF8,#0284C7,#34D399,#082F49,#F8FAFC,#0C4A6E,linear-gradient(135deg; #0EA5E9; #10B981),"DNA blue = science. Green CTA = discover/research. Sterile white labs. Molecular visualization gradients."
89,Space Tech,"space, aerospace, rocket, satellite, orbital, cosmos",#F8FAFC,#94A3B8,#3B82F6,#0B0B10,#F8FAFC,#1E293B,#CBD5E1,#64748B,#60A5FA,#050510,#F8FAFC,#1E293B,linear-gradient(135deg; #0B0B10; #1E293B),"Deep space black bg. Star white text. Blue CTA = launch/explore. Metallic silver accents. Nebula gradients."
90,Architecture/Interior,"architecture, interior-design, spatial, floor-plan, decor",#171717,#404040,#D4AF37,#FFFFFF,#171717,#E5E5E5,#262626,#525252,#EAB308,#0A0A0A,#FAFAFA,#262626,linear-gradient(135deg; #171717; #404040),"Monochrome + gold. High imagery. Materiality-driven palette. Grid-based layouts. Minimal chrome."
91,Quantum Computing,"quantum, qubit, superposition, entanglement, quantum-ai",#00FFFF,#7B61FF,#FF00FF,#050510,#E0E0FF,#333344,#00E5FF,#9580FF,#FF33FF,#03030A,#E0E0FF,#222233,linear-gradient(135deg; #050510; #1A0A2E),"Neon cyan/magenta on deep dark. Interference pattern gradients. Futuristic particle effects."
92,Biohacking/Longevity,"biohacking, longevity, health-optimization, nootropic, quantified-self",#EF4444,#3B82F6,#10B981,#F5F5F7,#1C1C1E,#E5E5EA,#F87171,#60A5FA,#34D399,#0A0A0C,#F5F5F7,#1C1C1E,linear-gradient(135deg; #EF4444; #3B82F6),"Bio red + tech blue. Green CTA = optimize/start. Clinical white. Data-dense dashboards. Health metric gradients."
93,Autonomous Systems,"autonomous, drone, robotics, fleet, self-driving, uav",#00FF41,#008F11,#FF3333,#0D1117,#E6EDF3,#30363D,#33FF66,#00B324,#FF4D4D,#060A0F,#E6EDF3,#21262D,linear-gradient(135deg; #0D1117; #161B22),"Terminal green = operational. Red = critical alert. Dark tactical bg. HUD-style overlays. Status-first design."
94,Generative AI Art,"generative-art, ai-art, creative-ai, midjourney, dall-e, stable-diffusion",#18181B,#3F3F46,#FFFFFF,#FAFAFA,#000000,#E5E5E5,#27272A,#52525B,#F8FAFC,#09090B,#FAFAFA,#27272A,linear-gradient(135deg; #18181B; #3F3F46),"Canvas neutral lets AI art dominate. White CTA = generate. Gallery-mode dark. High contrast controls."
95,Spatial/VisionOS,"spatial, visionos, mixed-reality, ar, glass, apple-vision",#F8FAFC,#E2E8F0,#007AFF,#FFFFFF80,#000000,#FFFFFF,#F8FAFC,#E2E8F0,#0A84FF,#00000060,#FFFFFF,#FFFFFF30,linear-gradient(135deg; #FFFFFF40; #E2E8F060),"Glass morphism 20% opacity. System blue CTA. Depth/parallax layers. Translucent surfaces. Subtle shadows."
96,Climate Tech,"climate, green-energy, solar, wind, carbon, sustainability, cleantech",#2E8B57,#87CEEB,#FFD700,#F0FFF4,#1A3320,#C6E6C6,#3CB371,#5F9EA0,#FFD700,#0A1A10,#D0F0D0,#1A3320,linear-gradient(135deg; #2E8B57; #87CEEB),"Nature green = earth. Solar gold CTA = invest/act. Sky blue for air quality. Carbon #404040. Impact gradient."
97,AI Agent / Copilot,"ai-agent, copilot, assistant, automation, workflow-ai, agent, claude, chatgpt",#6366F1,#A5B4FC,#06B6D4,#EEF2FF,#1E1B4B,#C7D2FE,#818CF8,#C7D2FE,#22D3EE,#0A0918,#E0E7FF,#312E81,linear-gradient(135deg; #6366F1; #06B6D4),"Indigo = intelligence. Cyan CTA = ask/automate. Thinking dots: pulsing. Response: fade-in. Conversational UI warm."
98,No-Code Builder,"no-code, low-code, builder, drag-drop, visual, zapier, bubble",#8B5CF6,#A78BFA,#F97316,#FAF5FF,#4C1D95,#DDD6FE,#A78BFA,#C4B5FD,#FB923C,#1E0D30,#FAF5FF,#4C1D95,linear-gradient(135deg; #8B5CF6; #A78BFA),"Purple = creation/magic. Orange CTA = start building. Playful blocks. Drag-drop visual metaphors."
99,Telemedicine,"telemedicine, telehealth, virtual-care, remote-health, video-consult",#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,#A5F3FC,#06B6D4,#67E8F9,#10B981,#0C1B2D,#ECFEFF,#164E63,linear-gradient(135deg; #0891B2; #059669),"Calm cyan = care. Green CTA = book consultation. Video-first UI. Trusted clinical feel. HIPAA badge."
100,Edtech Enterprise,"edtech, lms-enterprise, corporate-training, compliance, hr-learning",#4F46E5,#6366F1,#F97316,#F8FAFC,#1E1B4B,#E0E7FF,#6366F1,#818CF8,#FB923C,#0A0918,#F8FAFC,#312E81,linear-gradient(135deg; #4F46E5; #6366F1),"Professional indigo. Orange CTA = enroll/assign. Progress bars green. Compliance badges. Certificate gold."
101,PropTech,"proptech, property-tech, real-estate-tech, smart-building, facility",#0F766E,#14B8A6,#F97316,#F0FDFA,#134E4A,#99F6E4,#14B8A6,#2DD4BF,#FB923C,#042F2E,#F0FDFA,#134E4A,linear-gradient(135deg; #0F766E; #14B8A6),"Teal = modern tech + real estate trust. Orange CTA = invest/demo. IoT green overlays. Smart building blue accents."
102,Mental Wellness Corporate,"corporate-wellness, eap, burnout, stress, workplace-health",#7C9AB5,#A3BFDB,#059669,#F7F9FB,#2C3E50,#D6E4F0,#8FADC4,#B8D0E4,#10B981,#162534,#E8F0F7,#2C3E50,linear-gradient(135deg; #7C9AB5; #A3BFDB),"Muted blue-grey = calm corporate. Green CTA = get help. NO harsh colors. Soft gradient backgrounds. Safe space design."
103,Supply Chain,"supply-chain, erp, inventory, warehouse, procurement, fulfillment",#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0,#3B82F6,#60A5FA,#FB923C,#0F172A,#F1F5F9,#1E293B,linear-gradient(135deg; #2563EB; #3B82F6),"Blue = operational trust. Orange CTA = order/track. Status colors: green(in-stock) yellow(low) red(out). Pipeline visualization."
104,LegalTech,"legaltech, contract, compliance, regtech, legal-ai, e-discovery",#1E3A8A,#2563EB,#059669,#F8FAFC,#0F172A,#DBEAFE,#2563EB,#3B82F6,#10B981,#0C1222,#F1F5F9,#1E293B,linear-gradient(135deg; #1E3A8A; #2563EB),"Navy authority. Green CTA = analyze/review. Document-centric design. AI highlight = indigo badges."
105,AgriFood Tech,"agrifood, food-tech, alternative-protein, vertical-farm, food-science",#15803D,#22C55E,#F97316,#F0FDF4,#14532D,#BBF7D0,#22C55E,#4ADE80,#FB923C,#052E16,#ECFDF5,#14532D,linear-gradient(135deg; #15803D; #0EA5E9),"Farm green + tech blue. Orange CTA = taste/invest. Lab white for science. Sustainability gradient."
106,Robotics/Industrial,"robotics, industrial-iot, manufacturing, automation, factory, plc",#475569,#64748B,#F97316,#F8FAFC,#1E293B,#CBD5E1,#64748B,#94A3B8,#FB923C,#1E293B,#F8FAFC,#334155,linear-gradient(135deg; #475569; #1E293B),"Steel grey = industrial. Orange CTA = demo/quote. Safety yellow warnings. Operational green status."