No,Category,Pattern_Name,Description,Light_Value,Dark_Value,CSS_Variable,Do,Don't,Code_Good,Code_Bad,Severity,Token_Type,Docs_URL
1,Foundation,System Preference Detection,Use prefers-color-scheme to detect OS dark mode setting,n/a,n/a,n/a,Check system preference on first visit then allow manual override,Force light mode only â€” frustrates dark mode users,"@media (prefers-color-scheme: dark) { :root { --bg: #0f172a } }",No system detection â€” always light,Critical,system,https://developer.mozilla.org/en-US/docs/Web/CSS/@media/prefers-color-scheme
2,Foundation,Manual Toggle,Provide visible toggle switch with persist to localStorage,n/a,n/a,n/a,Save preference to localStorage and apply on page load before render,Show flash of wrong theme on load (FOIT),"const theme = localStorage.getItem('theme'); document.documentElement.dataset.theme = theme",Theme flicker on every page load,High,system,
3,Foundation,CSS Custom Properties,Use CSS variables for all colors â€” swap values by theme,#ffffff,#0f172a,--color-bg,Define all colors as CSS custom properties,Hardcode hex values in component styles,:root { --bg: #fff } [data-theme='dark'] { --bg: #0f172a },background: #ffffff in every component,Critical,system,https://developer.mozilla.org/en-US/docs/Web/CSS/Using_CSS_custom_properties
4,Foundation,No Flash Strategy,Apply theme before first paint to prevent FOIT,n/a,n/a,n/a,"Add blocking <script> in <head> to set theme class before render",Let theme load after DOM paint â€” causes flash,"<script>document.documentElement.dataset.theme=localStorage.getItem('theme')||'system'</script> in <head>",Theme applied in useEffect â€” flashes white first,High,system,
5,Background,Page Background,Primary background color â€” large surfaces,#ffffff,#0f172a,--color-bg-primary,Use very dark blue-gray (not pure black) for dark mode,Use pure #000000 â€” causes halation for astigmatic users,background: var(--color-bg-primary),background: #000000 in dark mode,High,surface,
6,Background,Surface/Card,Elevated surface color â€” cards and containers,#f8fafc,#1e293b,--color-bg-surface,Surface should be slightly lighter than page background in dark,Make cards same color as background â€” no visual hierarchy,Card: background: var(--color-bg-surface),Card same as page background â€” invisible,High,surface,
7,Background,Elevated Surface,Higher elevation surfaces â€” modals and popovers,#f1f5f9,#334155,--color-bg-elevated,Each elevation level gets progressively lighter in dark mode,All surfaces same color â€” no depth perception,Modal: background: var(--color-bg-elevated),All surfaces #1e293b regardless of elevation,Medium,surface,
8,Background,Input Background,Form field background color,#ffffff,#1e293b,--color-bg-input,Inputs slightly lighter than container surface in dark,Inputs same as background â€” hard to find,Input: background: var(--color-bg-input),Input invisible against card background,High,surface,
9,Text,Primary Text,Main content text color,#0f172a,#f1f5f9,--color-text-primary,Use off-white not pure white for dark mode body text,Use #ffffff text on dark â€” causes eye strain,color: var(--color-text-primary),color: #ffffff on #000000,High,text,
10,Text,Secondary Text,Subdued/supporting text color,#64748b,#94a3b8,--color-text-secondary,Maintain 4.5:1 contrast ratio in both modes,Use same gray in both modes â€” fails contrast in one,color: var(--color-text-secondary),color: #94a3b8 on #ffffff (fails contrast),High,text,
11,Text,Muted Text,Least emphasis text â€” timestamps and labels,#94a3b8,#64748b,--color-text-muted,Minimum 3:1 contrast for muted text,Go below 3:1 contrast â€” text becomes invisible,color: var(--color-text-muted),color: #cbd5e1 on #0f172a (too low contrast),Medium,text,
12,Text,Link Color,Hyperlink text color,#2563eb,#60a5fa,--color-text-link,Use lighter/brighter shade of brand color in dark mode,Use same link color in both modes â€” may fail contrast,color: var(--color-text-link),color: #2563eb on #0f172a (contrast 2.8:1),High,text,
13,Border,Default Border,Standard border/divider color,#e2e8f0,#334155,--color-border,Use subtle borders â€” visible but not dominant,Use same border color in both modes,border: 1px solid var(--color-border),border: 1px solid #e2e8f0 on dark background,Medium,border,
14,Border,Focus Ring,Keyboard focus indicator color,#2563eb,#60a5fa,--color-focus-ring,Ensure focus ring visible against both light and dark backgrounds,Use blue focus ring on blue background â€” invisible,outline: 2px solid var(--color-focus-ring),outline: 2px solid #2563eb on dark (low visibility),High,border,
15,Brand,Primary Brand,Main brand/accent color,#2563eb,#3b82f6,--color-brand-primary,Adjust brand color brightness for dark mode (lighter by 1-2 shades),Use exact same brand hex in both modes,background: var(--color-brand-primary),background: #1e40af in dark mode (too dark),High,brand,
16,Brand,CTA Color,Call-to-action button color,#f97316,#fb923c,--color-brand-cta,CTA should pop against dark background â€” slightly lighter,Use dark CTA button on dark background â€” invisible,CTA: background: var(--color-brand-cta),CTA: background: #c2410c on dark bg,High,brand,
17,Feedback,Success Color,Positive feedback/success states,#16a34a,#4ade80,--color-success,Use brighter greens in dark mode for visibility,Use dark green on dark background,color: var(--color-success),color: #166534 on dark (invisible),Medium,feedback,
18,Feedback,Error Color,Error/destructive states,#dc2626,#f87171,--color-error,Use brighter reds in dark mode,Use dark red on dark background,color: var(--color-error),color: #991b1b on #0f172a (invisible),High,feedback,
19,Feedback,Warning Color,Warning/caution states,#d97706,#fbbf24,--color-warning,Use brighter amber/yellow in dark mode,Use dark amber on dark background,color: var(--color-warning),color: #92400e on dark (invisible),Medium,feedback,
20,Feedback,Info Color,Informational states,#2563eb,#60a5fa,--color-info,Use lighter blue in dark mode,Same blue in both modes,color: var(--color-info),color: #1e40af on dark (hard to read),Medium,feedback,
21,Shadow,Box Shadow,Elevation shadows in dark mode,rgba(0 0 0 / 0.1),rgba(0 0 0 / 0.5),--shadow-color,Use darker/stronger shadows in dark mode â€” they need to be more visible,Use same shadow opacity â€” invisible on dark backgrounds,box-shadow: 0 4px 6px var(--shadow-color),box-shadow: 0 4px 6px rgba(0 0 0 / 0.1) on dark,Medium,shadow,
22,Shadow,Glow Effect,Replace shadow with subtle glow in dark mode,box-shadow: 0 4px 6px rgba(0 0 0/0.1),box-shadow: 0 0 20px rgba(59 130 246/0.15),--shadow-glow,Use subtle brand-colored glow for cards in dark mode,Use black box-shadows in dark â€” looks like a hole,box-shadow: var(--shadow-glow) in dark mode,Black shadows on dark bg â€” no depth perception,Low,shadow,
23,Image,Image Brightness,Reduce image brightness slightly in dark mode,filter: none,filter: brightness(0.9),--image-filter,Apply subtle brightness reduction to prevent images from glaring,Apply heavy filters â€” makes images look bad,"img { filter: var(--image-filter, none) }",filter: brightness(0.5) â€” too dark,Medium,media,
24,Image,Image with Transparency,Handle transparent PNGs on dark backgrounds,n/a,n/a,n/a,Add subtle background or border to transparent images in dark mode,Assume all images have opaque backgrounds,Transparent logo gets a dark bg pill behind it,Transparent white logo invisible on dark bg,High,media,
25,Image,Favicon/Logo Variants,Provide separate light/dark logo variants,light logo,dark logo,n/a,Use media query in <link> for favicon or image srcset,"Use one logo for both â€” may be invisible","<link rel='icon' media='prefers-color-scheme: dark' href='favicon-dark.svg'>",Same white logo on both themes â€” invisible in light,Medium,media,
26,Component,Toggle Button,Dark mode toggle switch design,â˜€ï¸ Sun icon,ðŸŒ™ Moon icon,n/a,Place toggle in header/nav â€” easily discoverable,Hide in settings only â€” users can't find it,Visible toggle in top nav with sun/moon icons,Toggle buried in settings > appearance > theme,High,component,
27,Component,Code Blocks,Syntax highlighting theme swap,Light theme (github),Dark theme (one-dark/dracula),n/a,Use theme-aware syntax highlighting,Same code theme in both modes â€” poor readability,"[data-theme='dark'] pre { background: #1e1e1e }",Light code block on dark page â€” glaring,Medium,component,
28,Component,Charts/Graphs,Adjust chart colors for dark backgrounds,Dark text + light axes,Light text + dark axes,n/a,Invert axis/label colors and adjust data colors for dark backgrounds,Use same chart colors â€” labels invisible on dark,"Chart text: var(--color-text-primary); grid: var(--color-border)",Same chart colors in dark â€” grid lines invisible,High,component,
29,Transition,Theme Transition,Smooth transition between light and dark,n/a,n/a,n/a,Add 200ms transition on color/background-color properties,Instant swap â€” feels jarring,"* { transition: background-color 200ms ease, color 200ms ease }",Instant color swap â€” no transition,Low,animation,
30,Transition,No Transition on Load,Skip transition on initial page load,n/a,n/a,n/a,Disable transition on first paint then enable after load,Apply transition CSS immediately â€” causes flash during initial theme set,Add .no-transition class on load; remove after requestAnimationFrame,Transition fires during initial theme application,Medium,animation,
31,Testing,Contrast Checker,Verify all text meets WCAG contrast ratios in both modes,n/a,n/a,n/a,Check every text/background combo in both modes with automated tool,Test only light mode contrast â€” dark mode fails,Run axe-core in both themes in CI,Only test light mode â€” dark ships with 2:1 contrast,High,testing,
32,Testing,Edge Cases,Test dark mode with user-generated content and third-party embeds,n/a,n/a,n/a,Test embedded iframes and user images in dark mode,Assume all content adapts â€” third-party embeds often don't,Style wrapper around embeds for dark mode,YouTube embed with white border in dark mode,Medium,testing,
33,Pattern,Class Strategy,Use data attribute or class on <html> for theme switching,[data-theme='light'],[data-theme='dark'],n/a,Use data-theme attribute on <html> for CSS variable switching,Use separate CSS files per theme â€” doubles payload,"[data-theme='dark'] { --bg: #0f172a }",<link href='dark.css'> â€” extra network request,High,architecture,
34,Pattern,Three-way Toggle,Support system/light/dark preference options,n/a,n/a,n/a,Offer 'System' option that follows OS preference,Only offer light/dark â€” no system auto option,"Select: System | Light | Dark with system as default",Only Light/Dark toggle â€” ignores OS setting,Medium,architecture,
35,Pattern,CSS color-scheme,Set color-scheme property for native element styling,color-scheme: light,color-scheme: dark,n/a,Set color-scheme so native form elements adapt automatically,Ignore color-scheme â€” scrollbars and inputs stay light-themed,":root { color-scheme: light dark }",No color-scheme â€” white scrollbar in dark mode,Medium,system,https://developer.mozilla.org/en-US/docs/Web/CSS/color-scheme
