No	Category	Issue	Keywords	Platform	Description	Do	Don't	Code Example Good	Code Example Bad	Severity	React Version	Impact Score	Auto-fixable
1	Async Waterfall	Defer Await	async await defer branch	React 19 / Next.js 15	Move await into branches where actually used to avoid blocking unused code paths	Move await operations into branches where they're needed	Await at top of function blocking all branches	if (skip) return { skipped: true }; const data = await fetch()	const data = await fetch(); if (skip) return { skipped: true }	Critical	18+	9/10	ESLint rule
2	Async Waterfall	Promise.all Parallel	promise all parallel concurrent	React 19 / Next.js 15	Execute independent async operations concurrently using Promise.all()	Use Promise.all() for independent operations	Sequential await for independent operations	const [user, posts] = await Promise.all([fetchUser(), fetchPosts()])	const user = await fetchUser(); const posts = await fetchPosts()	Critical	18+	9/10	ESLint rule
3	Async Waterfall	Dependency Parallelization	dependency parallel partial	React 19 / Next.js 15	Start dependent operations as early as possible; use Promise.all with dependency chains	Start each task at earliest possible moment; chain only true dependencies	Wait for unrelated data before starting dependent fetch	const userP = fetchUser(); const configP = fetchConfig(); const user = await userP; const profile = await fetchProfile(user.id)	const user = await fetchUser(); const config = await fetchConfig(); const profile = await fetchProfile(user.id)	Critical	18+	8/10	Manual
4	Async Waterfall	API Route Optimization	api route waterfall promise	Next.js 15	In API routes start independent operations immediately even if not awaited yet	Start promises early and await late	Sequential awaits in API handlers	const sessionP = auth(); const configP = fetchConfig(); const session = await sessionP	const session = await auth(); const config = await fetchConfig()	Critical	18+	8/10	Manual
5	Async Waterfall	Suspense Boundaries	suspense streaming boundary	React 19 / Next.js 15	Use Suspense to show wrapper UI faster while data loads; enables streaming SSR	Wrap async components in Suspense boundaries with meaningful fallbacks	Await data blocking entire page render	<Suspense fallback={<Skeleton />}><DataDisplay /></Suspense>	const data = await fetchData(); return <DataDisplay data={data} />	High	18+	8/10	Manual
6	Async Waterfall	use() Hook for Promises	use hook promise suspense	React 19	Use the use() hook to read promises in render; integrates with Suspense automatically	Use use(promise) to unwrap async data in components	Manual promise handling with useEffect + useState	const data = use(fetchDataPromise); return <Display data={data} />	const [data, setData] = useState(); useEffect(() => { fetch().then(setData) }, [])	High	19+	7/10	Codemod
7	Bundle Size	Barrel Imports	barrel import direct path tree	React 19 / Next.js 15	Import directly from source files instead of barrel files to avoid loading unused modules	Import directly from source path; use optimizePackageImports in next.config	Import from barrel/index files	import Check from 'lucide-react/dist/esm/icons/check'	import { Check } from 'lucide-react'	Critical	18+	9/10	ESLint rule + next.config
8	Bundle Size	Dynamic Imports	dynamic import lazy next	React 19 / Next.js 15	Use next/dynamic or React.lazy to lazy-load large components not needed on initial render	Use dynamic() for heavy components; set ssr: false for client-only	Import heavy components at top level	const Monaco = dynamic(() => import('./monaco'), { ssr: false })	import { MonacoEditor } from './monaco-editor'	Critical	18+	9/10	Manual
9	Bundle Size	Defer Third Party	analytics defer third-party	React 19 / Next.js 15	Load analytics and logging after hydration since they don't block interaction	Load non-critical scripts after hydration; use next/script strategy	Include analytics in main bundle	<Script src="analytics.js" strategy="lazyOnload" />	import { Analytics } from '@vercel/analytics/react'	Medium	18+	6/10	Manual
10	Bundle Size	Conditional Loading	conditional module lazy feature	React 19 / Next.js 15	Load large data or modules only when a feature is activated	Dynamic import when feature enabled; use import() in event handlers	Import large modules unconditionally	useEffect(() => { if (enabled) import('./heavy.js') }, [enabled])	import { heavyData } from './heavy.js'	High	18+	7/10	Manual
11	Bundle Size	Preload Intent	preload hover focus intent	React 19 / Next.js 15	Preload heavy bundles on hover/focus before they're needed for instant interaction	Preload on user intent signals (hover, focus, viewport entry)	Load only on click causing delay	onMouseEnter={() => import('./editor')}	onClick={() => import('./editor')}	Medium	18+	5/10	Manual
12	Bundle Size	React Compiler Auto-Memo	react compiler forget memo	React 19	React Compiler (React Forget) automatically memoizes components and hooks; remove manual memo/useMemo/useCallback	Enable React Compiler; remove manual memoization it handles	Manually wrap everything in memo/useMemo/useCallback	// react-compiler enabled in babel config; write plain components	const MemoComp = memo(({ data }) => ...); const cb = useCallback(() => {}, [deps])	High	19+	8/10	Codemod (react-compiler)
13	Server	React.cache Dedup	react cache deduplicate request	React 19 / Next.js 15	Use React.cache() for server-side request deduplication within single render pass	Wrap data fetchers with cache() for same-request dedup	Fetch same data multiple times in component tree	export const getUser = cache(async () => await db.user.find())	export async function getUser() { return await db.user.find() }	Medium	19+	6/10	Manual
14	Server	LRU Cache Cross-Request	lru cache cross request ttl	Next.js 15	Use LRU cache or unstable_cache for data shared across sequential requests	Use LRU or unstable_cache with TTL for cross-request caching	Refetch same data on every request	const cache = new LRUCache({ max: 1000, ttl: 5*60*1000 })	Always fetch from database on every request	High	18+	7/10	Manual
15	Server	Minimize Serialization	serialization rsc boundary props	React 19 / Next.js 15	Only pass fields that client actually uses across RSC boundaries; avoid serializing large objects	Pass only needed fields to client components; use pick/select	Pass entire objects to client components	<Profile name={user.name} avatar={user.avatar} />	<Profile user={user} /> // 50 fields serialized	High	19+	7/10	ESLint rule
16	Server	Parallel Fetching RSC	parallel fetch component composition rsc	React 19 / Next.js 15	Restructure components to parallelize data fetching in React Server Components	Use component composition for parallel fetches; sibling async components	Sequential fetches in parent component	<Header /><Sidebar /> // both fetch in parallel as siblings	const header = await fetchHeader(); return <><div>{header}</div><Sidebar /></>	Critical	19+	9/10	Manual
17	Server	After Non-blocking	after non-blocking logging next	Next.js 15	Use Next.js after() to schedule work after response is sent to client	Use after() for logging, analytics, cache warming	Block response for non-critical operations	after(async () => { await logAction() }); return Response.json(data)	await logAction(); return Response.json(data)	Medium	19+ (Next 15)	6/10	Manual
18	Server	Server Actions	server actions form mutation	React 19 / Next.js 15	Use Server Actions for form mutations; they integrate with Suspense, transitions, and error boundaries	Use 'use server' for mutations; combine with useActionState	Manual API routes for simple form submissions	async function submitForm(formData) { 'use server'; await db.insert(formData) }	const handleSubmit = async () => { await fetch('/api/submit', { method: 'POST' }) }	High	19+	7/10	Codemod
19	Server	Partial Prerendering	ppr partial prerendering static dynamic	Next.js 15	Use Partial Prerendering (PPR) to combine static shell with dynamic streaming content	Enable PPR for pages with static + dynamic content; use Suspense boundaries	Full SSR or full static for mixed pages	export const experimental_ppr = true; // static shell + Suspense for dynamic	// Entire page is either fully static or fully dynamic	High	19+ (Next 15)	8/10	Config flag
20	Client	SWR Deduplication	swr dedup cache revalidate	React 19 / Next.js 15	Use SWR or TanStack Query for automatic request deduplication and caching	Use useSWR/useQuery for client data fetching with built-in dedup	Manual fetch in useEffect with no caching	const { data } = useSWR('/api/users', fetcher)	useEffect(() => { fetch('/api/users').then(setUsers) }, [])	Medium-High	18+	7/10	Manual
21	Client	Event Listener Dedup	event listener deduplicate global shared	React 19 / Next.js 15	Share global event listeners across component instances to avoid duplicate registrations	Use shared subscription pattern or useSyncExternalStore	Register listener per component instance	const width = useSyncExternalStore(subscribe, () => window.innerWidth)	useEffect(() => { window.addEventListener('resize', handler) }, [])	Low	18+	4/10	Manual
22	Client	useOptimistic	useoptimistic optimistic update	React 19	Use useOptimistic for instant UI feedback while server action processes	Use useOptimistic for form submissions and mutations	Wait for server response before updating UI	const [optimisticItems, addOptimistic] = useOptimistic(items, (state, newItem) => [...state, newItem])	const handleAdd = async () => { await addItem(); refetch() } // slow feedback	Medium	19+	6/10	Manual
23	Client	useFormStatus	useformstatus pending form	React 19	Use useFormStatus to show loading states in form submit buttons	Use useFormStatus inside form children for pending state	Manual loading state management with useState	function SubmitButton() { const { pending } = useFormStatus(); return <button disabled={pending}>Submit</button> }	const [loading, setLoading] = useState(false); onClick={() => { setLoading(true); await submit(); setLoading(false) }}	Medium	19+	5/10	Manual
24	Client	useActionState	useactionstate form server action	React 19	Use useActionState for form state management with Server Actions	Use useActionState for form error/success state from server actions	Manual error state management	const [state, formAction] = useActionState(serverAction, initialState)	const [error, setError] = useState(); try { await action() } catch(e) { setError(e) }	Medium	19+	6/10	Manual
25	Rerender	Defer State Reads	state read callback subscription	React 19 / Next.js 15	Don't subscribe to state only used in callbacks; read on-demand instead	Read state on-demand in callbacks; avoid unnecessary subscriptions	Subscribe to state used only in handlers	const handleClick = () => { const params = new URLSearchParams(location.search) }	const params = useSearchParams(); const handleClick = () => { params.get('ref') }	Medium	18+	5/10	Manual
26	Rerender	React Compiler Eliminates Manual Memo	react compiler memo usememo usecallback	React 19	React Compiler auto-memoizes; remove manual memo(), useMemo(), useCallback() when compiler is enabled	Enable React Compiler and write plain components	Manually memoize everything when compiler handles it	function UserAvatar({ user }) { return <img src={user.avatar} /> }	const UserAvatar = memo(({ user }) => <img src={user.avatar} />)	Medium	19+	6/10	Codemod
27	Rerender	Narrow Dependencies	effect dependency primitive	React 19 / Next.js 15	Specify primitive dependencies instead of objects in effects to prevent unnecessary re-runs	Use primitive values in dependency arrays	Use object references as dependencies	useEffect(() => { console.log(user.id) }, [user.id])	useEffect(() => { console.log(user.id) }, [user])	Low	18+	4/10	ESLint rule
28	Rerender	Derived State	derived boolean subscription	React 19 / Next.js 15	Subscribe to derived booleans instead of continuous values to reduce re-renders	Use derived boolean state; useSyncExternalStore for external state	Subscribe to continuous values causing frequent re-renders	const isMobile = useMediaQuery('(max-width: 767px)')	const width = useWindowWidth(); const isMobile = width < 768	Medium	18+	5/10	Manual
29	Rerender	Functional setState	functional setstate callback	React 19 / Next.js 15	Use functional setState updates for stable callbacks and no stale closures	Use functional form: setState(curr => ...)	Reference state directly in setState causing stale closures	setItems(curr => [...curr, newItem])	setItems([...items, newItem]) // items in deps	Medium	18+	5/10	ESLint rule
30	Rerender	Lazy State Init	usestate lazy initialization	React 19 / Next.js 15	Pass function to useState for expensive initial values to avoid recomputation	Use function form for expensive init	Compute expensive value directly on every render	useState(() => buildSearchIndex(items))	useState(buildSearchIndex(items)) // runs every render	Medium	18+	5/10	ESLint rule
31	Rerender	Transitions	starttransition non-urgent	React 19 / Next.js 15	Mark frequent non-urgent state updates as transitions to keep UI responsive	Use startTransition for non-urgent updates; useTransition for pending state	Block UI on every state change	startTransition(() => setSearchResults(filtered))	setSearchResults(filtered) // blocks on every keystroke	Medium	18+	6/10	Manual
32	Rendering	SVG Animation Wrapper	svg animation wrapper div gpu	React 19 / Next.js 15	Wrap SVG in div and animate wrapper for hardware acceleration	Animate div wrapper around SVG; use will-change: transform	Animate SVG element directly causing layout thrashing	<div className='animate-spin'><svg>...</svg></div>	<svg className='animate-spin'>...</svg>	Low	18+	3/10	Manual
33	Rendering	Content Visibility	content-visibility auto contain	React 19 / Next.js 15	Apply content-visibility: auto to defer off-screen rendering for long lists	Use content-visibility for long lists; set contain-intrinsic-size	Render all list items immediately without virtualization	.item { content-visibility: auto; contain-intrinsic-size: 0 80px }	Render 1000 items without optimization	High	18+	8/10	Manual
34	Rendering	Hoist Static JSX	hoist static jsx element module	React 19 / Next.js 15	Extract static JSX outside components to avoid re-creation on every render	Hoist static elements to module scope	Create static elements inside components every render	const skeleton = <div className='animate-pulse' />; function C() { return skeleton }	function C() { return <div className='animate-pulse' /> }	Low	18+	3/10	React Compiler handles
35	Rendering	Hydration No Flicker	hydration mismatch flicker theme	React 19 / Next.js 15	Use inline script to set client-only data before hydration to prevent flash	Inject sync script for client-only values (theme, locale)	Use useEffect causing visible flash of wrong content	<script dangerouslySetInnerHTML={{ __html: 'document.documentElement.dataset.theme = localStorage.theme' }} />	useEffect(() => setTheme(localStorage.theme), []) // flickers	Medium	18+	6/10	Manual
36	Rendering	Conditional Render	conditional render ternary falsy	React 19 / Next.js 15	Use ternary instead of && when condition can be 0 or NaN to prevent rendering falsy values	Use explicit ternary for conditionals	Use && with potentially falsy numbers	{count > 0 ? <Badge>{count}</Badge> : null}	{count && <Badge>{count}</Badge>} // renders '0'	Low	18+	3/10	ESLint rule
37	Rendering	View Transitions	view transition api page navigation	React 19 / Next.js 15	Use View Transitions API for smooth page transitions and element morphing	Use document.startViewTransition() or Next.js built-in support	Hard page transitions with no animation	document.startViewTransition(() => { navigate('/new-page') })	router.push('/new-page') // instant hard transition	Medium	19+	5/10	Manual
38	Rendering	Activity Component	activity show hide preserve state	React 19	Use Activity component to preserve state/DOM for toggled components without unmounting	Use Activity for expensive toggle components	Unmount/remount on visibility toggle losing state	<Activity mode={isOpen ? 'visible' : 'hidden'}><Menu /></Activity>	{isOpen && <Menu />} // loses state on toggle	Medium	19+	5/10	Manual
39	JS Perf	Batch DOM CSS	batch dom css reflow class	React 19 / Next.js 15	Group CSS changes via classes or cssText to minimize reflows	Use class toggle or cssText for batch style changes	Change styles one property at a time causing multiple reflows	element.classList.add('highlighted')	el.style.width='100px'; el.style.height='200px'	Medium	18+	5/10	Manual
40	JS Perf	Index Map Lookup	map index lookup find o1	React 19 / Next.js 15	Build Map for repeated lookups instead of multiple .find() calls for O(1) access	Build index Map for O(1) lookups	Use .find() in loops causing O(nÂ²) complexity	const byId = new Map(users.map(u => [u.id, u])); byId.get(id)	users.find(u => u.id === order.userId) // O(n) each time	Low-Medium	18+	4/10	Manual
41	JS Perf	Cache Function Results	memoize cache function map	React 19 / Next.js 15	Use module-level Map to cache repeated function results	Use Map cache for repeated calls with same inputs	Recompute same values repeatedly	const cache = new Map(); if (cache.has(x)) return cache.get(x)	slugify(name) // called 100 times same input	Medium	18+	5/10	Manual
42	JS Perf	Combine Iterations	combine filter map loop single	React 19 / Next.js 15	Combine multiple filter/map into single loop for better performance	Single loop for multiple categorizations	Chain multiple filter() calls iterating array multiple times	for (const u of users) { if (u.isAdmin) admins.push(u); if (u.isTester) testers.push(u) }	users.filter(isAdmin); users.filter(isTester); users.filter(isInactive)	Low-Medium	18+	4/10	Manual
43	JS Perf	Set Map Lookups	set map includes has o1	React 19 / Next.js 15	Use Set/Map for O(1) lookups instead of array.includes() for repeated checks	Convert to Set for membership checks	Use .includes() for repeated checks on large arrays	const allowed = new Set(['a','b']); allowed.has(id)	const allowed = ['a','b']; allowed.includes(id)	Low-Medium	18+	4/10	Manual
44	JS Perf	toSorted Immutable	tosorted sort immutable array	React 19 / Next.js 15	Use toSorted()/toReversed()/toSpliced() instead of mutating array methods	Use immutable array methods (toSorted, toReversed, toSpliced, with)	Mutate arrays with sort()/splice()/reverse()	users.toSorted((a,b) => a.name.localeCompare(b.name))	users.sort((a,b) => a.name.localeCompare(b.name)) // mutates	Medium-High	18+	6/10	Codemod
45	JS Perf	Early Return	early return exit function guard	React 19 / Next.js 15	Return early when result is determined to skip unnecessary processing	Return immediately on first error or known result	Process all items then check errors at the end	for (const u of users) { if (!u.email) return { error: 'Email required' } }	let hasError; for (...) { if (!email) hasError=true }; if (hasError)...	Low-Medium	18+	4/10	Manual
46	JS Perf	Web Workers	web worker offload heavy computation	React 19 / Next.js 15	Offload heavy computation (sorting, filtering, parsing) to Web Workers to keep main thread free	Use Web Workers for CPU-intensive tasks; use Comlink for ergonomic API	Run heavy computation on main thread blocking UI	const worker = new Worker('./sort-worker.js'); worker.postMessage(largeArray)	const sorted = largeArray.sort((a,b) => complexCompare(a,b)) // blocks main thread	High	18+	8/10	Manual
47	Advanced	Event Handler Refs	useeffectevent ref handler stable	React 19	Use useEffectEvent (or ref pattern) for stable effect subscriptions without re-subscribing	Use useEffectEvent for stable handlers in effects	Re-subscribe on every callback change	const onEvent = useEffectEvent(handler); useEffect(() => { listen(onEvent) }, [])	useEffect(() => { listen(handler) }, [handler]) // re-subscribes	Low	19+	4/10	Manual
48	Advanced	useLatest Hook	uselatest ref callback fresh	React 19 / Next.js 15	Access latest values in callbacks without adding to dependency arrays	Use useLatest for fresh values in stable callbacks	Add callback to effect dependencies causing re-runs	const cbRef = useLatest(cb); useEffect(() => { setTimeout(() => cbRef.current()) }, [])	useEffect(() => { setTimeout(() => cb()) }, [cb]) // re-runs	Low	18+	3/10	Manual
49	AI/Streaming	Streaming Text Display	streaming sse text ai response	React 19 / Next.js 15	Use ReadableStream and SSE for AI streaming responses; render tokens incrementally	Use ReadableStream + TextDecoder for token-by-token rendering	Wait for complete AI response before displaying	const reader = response.body.getReader(); while (true) { const { done, value } = await reader.read(); appendToken(decode(value)) }	const result = await response.json(); setContent(result.text) // waits for full response	Critical	18+	9/10	Manual
50	AI/Streaming	AI Response Suspense	ai suspense streaming boundary	React 19	Wrap AI response components in Suspense with skeleton fallbacks for streaming	Use Suspense boundaries around AI-generated content sections	Show blank screen while AI generates response	<Suspense fallback={<ThinkingIndicator />}><AIResponse prompt={query} /></Suspense>	const response = await generateAI(query); return <div>{response}</div> // blocks entire page	High	19+	8/10	Manual
51	AI/Streaming	WebSocket Connection Management	websocket connection singleton reuse	React 19 / Next.js 15	Use singleton WebSocket connections with reconnection logic for real-time AI features	Use shared WebSocket instance; implement exponential backoff reconnection	Create new WebSocket per component mount	const ws = getSharedWebSocket(); ws.subscribe('ai-updates', handler)	useEffect(() => { const ws = new WebSocket(url); return () => ws.close() }, []) // per component	High	18+	7/10	Manual
52	AI/Streaming	Abort Controller for AI	abort controller cancel ai request	React 19 / Next.js 15	Use AbortController to cancel in-flight AI requests when user navigates away or submits new query	Abort previous AI request on new submission; cleanup on unmount	Let abandoned AI requests complete wasting resources	const controller = new AbortController(); fetch(url, { signal: controller.signal }); return () => controller.abort()	// No cleanup; previous AI request continues running in background	High	18+	7/10	Manual
53	AI/Streaming	Token-by-Token Rendering	token render incremental ai	React 19 / Next.js 15	Render AI tokens incrementally without causing full re-renders; use refs for append-only content	Use ref-based DOM manipulation for streaming text; batch state updates	setState on every token causing thousands of re-renders	const contentRef = useRef(); reader.onToken = (token) => { contentRef.current.textContent += token }	const [text, setText] = useState(''); onToken = (t) => setText(prev => prev + t) // re-render per token	Critical	18+	9/10	Manual
54	Image/Media	Next Image Optimization	next image optimization srcset	Next.js 15	Use next/image for automatic image optimization, lazy loading, and responsive srcset	Use <Image> component with proper width/height/sizes	Use raw <img> tags without optimization	<Image src="/hero.jpg" width={1200} height={600} sizes="100vw" priority />	<img src="/hero.jpg" style={{ width: '100%' }} />	High	18+	8/10	Codemod
55	Image/Media	Video Lazy Loading	video lazy loading intersection	React 19 / Next.js 15	Lazy-load video content using Intersection Observer; don't autoplay off-screen videos	Load video only when entering viewport; use poster image	Autoplay all videos on page load consuming bandwidth	<video poster="/thumb.jpg" ref={videoRef} /> // play on intersection	<video autoPlay src="/large-video.mp4" /> // loads immediately	Medium	18+	6/10	Manual
56	Image/Media	Font Loading Strategy	font loading display swap	React 19 / Next.js 15	Use font-display: swap and preload critical fonts to prevent layout shift and FOIT	Preload critical fonts; use font-display: swap; subset fonts	Load all font weights/styles blocking render	<link rel="preload" href="/font.woff2" as="font" crossOrigin />; font-display: swap	@font-face { src: url('/font.woff2'); } // no display strategy; blocks render	Medium	18+	6/10	Config
57	Forms	Progressive Enhancement	form progressive enhancement action	React 19 / Next.js 15	Forms should work without JavaScript using native form actions; enhance with JS	Use form action attribute; enhance with useActionState	Forms completely broken without JavaScript	<form action={serverAction}><input name="email" /><button>Submit</button></form>	<form onSubmit={(e) => { e.preventDefault(); fetch('/api/submit') }}>	Medium	19+	5/10	Manual
58	Forms	Debounced Search	debounce search input transition	React 19 / Next.js 15	Debounce search inputs and use transitions for non-urgent filter updates	Use useDeferredValue or debounce + startTransition for search	Fetch on every keystroke without debouncing	const deferredQuery = useDeferredValue(query); // or debounce(300ms)	onChange={(e) => { setQuery(e.target.value); fetchResults(e.target.value) }} // every keystroke	Medium	19+	6/10	Manual
59	Security	Sanitize AI Output	sanitize ai output xss html	React 19 / Next.js 15	Sanitize AI-generated HTML/markdown before rendering to prevent XSS attacks	Use DOMPurify or sanitize-html for AI output; render markdown safely	Render AI output with dangerouslySetInnerHTML without sanitization	import DOMPurify from 'dompurify'; <div dangerouslySetInnerHTML={{ __html: DOMPurify.sanitize(aiOutput) }} />	<div dangerouslySetInnerHTML={{ __html: aiOutput }} /> // XSS vulnerability	Critical	18+	10/10	ESLint rule
60	Security	Server Action Validation	server action validation zod	React 19 / Next.js 15	Always validate and sanitize Server Action inputs; never trust client data	Use Zod/Valibot to validate all Server Action inputs	Trust client-submitted form data without validation	async function action(formData) { 'use server'; const data = schema.parse(Object.fromEntries(formData)) }	async function action(formData) { 'use server'; await db.insert(Object.fromEntries(formData)) } // no validation	Critical	19+	10/10	Manual
61	Accessibility	Reduced Motion	prefers-reduced-motion animation	React 19 / Next.js 15	Respect prefers-reduced-motion media query; provide static alternatives for all animations	Check prefers-reduced-motion; disable/simplify animations	Force animations on all users regardless of preference	const prefersReduced = useMediaQuery('(prefers-reduced-motion: reduce)'); // skip animations	<motion.div animate={{ x: 100 }} /> // always animates regardless of user preference	Medium	18+	5/10	ESLint rule
62	Accessibility	Focus Management	focus management navigation modal	React 19 / Next.js 15	Manage focus on route changes, modal opens, and dynamic content updates	Trap focus in modals; restore focus on close; announce route changes	Ignore focus management causing keyboard users to lose context	<FocusTrap><Modal>{children}</Modal></FocusTrap>; // focus returns on close	<div className="modal">{children}</div> // no focus management	Medium	18+	5/10	Manual
63	Caching	Stale-While-Revalidate	swr stale revalidate cache	React 19 / Next.js 15	Implement stale-while-revalidate pattern for instant UI with background refresh	Show cached data immediately; revalidate in background	Show loading spinner while refetching cached data	const { data } = useSWR(key, fetcher, { revalidateOnFocus: true })	const [data, setData] = useState(); useEffect(() => { setLoading(true); fetch().then(setData) }, [])	High	18+	7/10	Manual
64	Caching	Route Segment Cache	route segment cache next	Next.js 15	Use Next.js route segment caching with proper revalidation strategies	Set revalidate per route segment; use tags for targeted invalidation	No caching strategy; every request hits origin	export const revalidate = 3600; // or use revalidateTag('products')	// No caching; every page request fetches fresh data	High	19+ (Next 15)	7/10	Config
65	Error Handling	Error Boundaries	error boundary fallback recovery	React 19 / Next.js 15	Use Error Boundaries with recovery actions; provide meaningful fallback UI	Wrap sections in ErrorBoundary with retry/reset actions	Let errors crash entire application	<ErrorBoundary fallback={<ErrorFallback onRetry={reset} />}><Feature /></ErrorBoundary>	// No error boundary; unhandled error crashes entire page	High	18+	7/10	Manual
66	Error Handling	AI Error Recovery	ai error retry fallback graceful	React 19 / Next.js 15	Implement graceful degradation for AI failures; show cached/fallback content when AI is unavailable	Retry with exponential backoff; show cached response on failure; degrade gracefully	Show generic error message when AI fails; no retry logic	try { return await aiGenerate(prompt) } catch { return cachedResponse ?? fallbackContent }	try { return await aiGenerate(prompt) } catch { throw new Error('AI failed') }	High	18+	7/10	Manual
67	Monitoring	Core Web Vitals	web vitals lcp cls inp monitoring	React 19 / Next.js 15	Monitor Core Web Vitals (LCP, CLS, INP) in production; set performance budgets	Use web-vitals library or Vercel Analytics; set alerts for regressions	Deploy without performance monitoring	import { onLCP, onCLS, onINP } from 'web-vitals'; onLCP(sendToAnalytics)	// No performance monitoring; issues discovered by users	High	18+	8/10	Config
68	Monitoring	React DevTools Profiler	react devtools profiler render	React 19	Use React DevTools Profiler to identify unnecessary re-renders and slow components	Profile in development; identify components rendering > 16ms	Guess at performance issues without profiling	<Profiler id="Feed" onRender={(id, phase, duration) => { if (duration > 16) log(id) }}>	// No profiling; optimize based on assumptions	Medium	18+	5/10	Manual
