STT,Category,Icon Name,Keywords,Library,Import Code,Usage,Best For,Style,Size (px),Color Context,Animation,Aria Label,Paired With,Alt Icons
132,Weather,cloud-rain,rain weather precipitation downpour storm,Lucide,import { CloudRain } from 'lucide-react',<CloudRain />,Rain weather indicator. Bad weather. Alert condition.,Outline,20-24,text-info | storm: text-warning,Raindrops fall (400ms loop stagger). Cloud darkens.,Rain / storm,"cloud, cloud-snow, umbrella","CloudDrizzle, CloudLightning"
133,Weather,cloud-snow,snow winter cold frost ice freeze,Lucide,import { CloudSnow } from 'lucide-react',<CloudSnow />,Snow/winter indicator. Cold weather. Freeze alert.,Outline,20-24,text-info,Snowflakes drift down (600ms loop). Gentle sway.,Snow / cold,"cloud-rain, thermometer","CloudHail, Snowflake"
134,Weather,thermometer,temperature heat cold weather sensor,Lucide,import { Thermometer } from 'lucide-react',<Thermometer />,Temperature reading. Heat/cold indicator. Sensor value.,Outline,20-24,text-secondary | hot: text-error cold: text-info,Mercury rises/falls to value (400ms). Color shifts by range.,Temperature,"activity, flame","ThermometerSun, Flame"
135,Weather,wind,breeze airflow ventilation weather gust,Lucide,import { Wind } from 'lucide-react',<Wind />,Wind indicator. Airflow. Ventilation status.,Outline,20-24,text-secondary,Lines wave right (600ms loop). Intensity by speed.,Wind / airflow,"cloud, droplets","Fan, AirVent"
136,Weather,sunrise,morning dawn beginning start new-day,Lucide,import { Sunrise } from 'lucide-react',<Sunrise />,Morning indicator. New beginning. Start of day.,Outline,20-24,text-warning,Sun rises above horizon (600ms). Rays expand.,Sunrise / start,"sunset, sun, moon","Sunset, Sun"
137,Weather,sunset,evening dusk ending close end-of-day,Lucide,import { Sunset } from 'lucide-react',<Sunset />,Evening indicator. Day end. Close of business.,Outline,20-24,text-orange-400,Sun descends below horizon (600ms). Warm glow fades.,Sunset / end,"sunrise, moon, sun","Sunrise, Moon"
138,Brand,twitter,social x tweet post microblog,Lucide,import { Twitter } from 'lucide-react',<Twitter />,Twitter/X social link. Tweet action. Social share.,Brand mark,20-24,text-[#1DA1F2] | x-brand: text-primary,Subtle scale 1→1.05 on hover (150ms).,Twitter / X social,"github, mail, share","AtSign, MessageCircle"
139,Brand,instagram,social photo feed stories reel visual,Lucide,import { Instagram } from 'lucide-react',<Instagram />,Instagram social link. Photo feed. Visual platform.,Brand mark,20-24,text-[#E1306C] | gradient: pink→orange→purple,Subtle scale 1→1.05 on hover (150ms). Gradient border.,Instagram social,"camera, image, heart","Camera, Heart"
140,Brand,linkedin,social professional network career business,Lucide,import { Linkedin } from 'lucide-react',<Linkedin />,LinkedIn professional network. Career link. B2B social.,Brand mark,20-24,text-[#0A66C2],Subtle scale 1→1.05 on hover (150ms).,LinkedIn social,"briefcase, users","Briefcase, Users"
141,Brand,facebook,social community page group social-media,Lucide,import { Facebook } from 'lucide-react',<Facebook />,Facebook social link. Community page. Social network.,Brand mark,20-24,text-[#1877F2],Subtle scale 1→1.05 on hover (150ms).,Facebook social,"users, share","Users, Globe"
142,Brand,youtube,video stream channel creator content,Lucide,import { Youtube } from 'lucide-react',<Youtube />,YouTube video link. Channel. Creator platform.,Brand mark,20-24,text-[#FF0000],Play triangle pulses inside (300ms).,YouTube video,"play, video","Play, MonitorPlay"
143,Brand,figma,design prototype ui wireframe collaborate,Lucide,import { Figma } from 'lucide-react',<Figma />,Figma design link. Prototype reference. UI tool.,Brand mark,20-24,text-[#F24E1E],Subtle rotate on hover (200ms).,Figma design,"palette, pen-tool","PenTool, Palette"
144,Finance,wallet-cards,payment-methods cards multiple finances,Lucide,import { WalletCards } from 'lucide-react',<WalletCards />,Payment methods. Multiple cards. Financial accounts.,Outline,20-24,text-primary,Cards fan out on hover (300ms stagger).,Payment methods,"credit-card, wallet","CreditCard, Wallet"
145,Finance,banknote,cash money currency bill payment,Lucide,import { Banknote } from 'lucide-react',<Banknote />,Cash payment. Money indicator. Bill currency.,Outline,20-24,text-success,Subtle float up 2px on count change (200ms).,Cash / money,"dollar-sign, coins","DollarSign, Coins"
146,Finance,coins,money currency token crypto-token staking,Lucide,import { Coins } from 'lucide-react',<Coins />,Coin stack. Token indicator. Staking/crypto.,Outline,20-24,text-warning | crypto: text-brand,Coins stack up 1-by-1 (200ms stagger).,Coins / tokens,"dollar-sign, banknote","DollarSign, Banknote"
147,Finance,receipt,invoice bill transaction record purchase,Lucide,import { Receipt } from 'lucide-react',<Receipt />,Invoice/receipt. Transaction record. Purchase proof.,Outline,18-20,text-secondary,Unfurl from top (300ms). Check mark on verified.,Receipt / invoice,"file-text, credit-card","FileText, ClipboardList"
148,Finance,piggy-bank,savings budget finance goal money-box,Lucide,import { PiggyBank } from 'lucide-react',<PiggyBank />,Savings indicator. Budget goal. Financial goal tracker.,Outline,20-24,text-brand | full: text-success,Coin drops in on save (200ms). Bounce on full.,Savings,"dollar-sign, target","Target, TrendingUp"
149,Healthcare,heart-pulse,vitals health heartbeat monitor medical,Lucide,import { HeartPulse } from 'lucide-react',<HeartPulse />,Health vitals. Heartbeat monitor. Medical status.,Outline,20-24,text-error | healthy: text-success,Pulse ECG animation (800ms loop). Flatline on disconnect.,Heart rate / vitals,"activity, stethoscope","Activity, Heart"
150,Healthcare,stethoscope,doctor medical examine diagnose clinical,Lucide,import { Stethoscope } from 'lucide-react',<Stethoscope />,Doctor/medical. Clinical examination. Health checkup.,Outline,20-24,text-info,Gentle swing of chest piece (400ms).,Medical / doctor,"heart-pulse, pill","HeartPulse, Syringe"
151,Healthcare,pill,medicine medication prescription drug treatment,Lucide,import { Pill } from 'lucide-react',<Pill />,Medication. Prescription indicator. Drug/treatment.,Outline,18-20,text-info | caution: text-warning,Subtle rotate on hover (200ms).,Medication,"stethoscope, syringe","Tablet, Syringe"
152,Healthcare,syringe,injection vaccine shot medical treatment,Lucide,import { Syringe } from 'lucide-react',<Syringe />,Injection/vaccine. Medical treatment. Shot record.,Outline,18-20,text-info,Plunger push on administer (300ms).,Injection / vaccine,"pill, stethoscope","Pill, HeartPulse"
153,Healthcare,baby,child infant newborn pediatric maternity,Lucide,import { Baby } from 'lucide-react',<Baby />,Pediatric. Baby care. Maternity indicator.,Outline,20-24,text-pink-400,Gentle bounce on hover (300ms).,Baby / pediatric,"heart, smile","Heart, SmilePlus"
154,Healthcare,accessibility,a11y inclusive disability assistive universal,Lucide,import { Accessibility } from 'lucide-react',<Accessibility />,Accessibility indicator. Inclusive design. A11y badge.,Outline,20-24,text-brand,Subtle pulse on focus (400ms).,Accessibility,"eye, ear","PersonStanding, Ear"
155,Education,graduation-cap,degree education graduate university diploma,Lucide,import { GraduationCap } from 'lucide-react',<GraduationCap />,Graduation. Degree completion. University section.,Outline → Filled on earn,20-24,text-brand | earned: text-gold,Cap toss up on completion (500ms spring). Tassel swing.,Graduation / degree,"book-open, award","Award, BookOpen"
156,Education,school,institution campus building education academy,Lucide,import { School } from 'lucide-react',<School />,School/institution. Campus indicator. Education hub.,Outline,20-24,text-secondary,Fade-in scale (200ms).,School / institution,"graduation-cap, book-open","Building, Library"
157,Education,book-marked,reading saved-page bookmarked reference,Lucide,import { BookMarked } from 'lucide-react',<BookMarked />,Saved reading. Bookmarked page. Reference material.,Outline → Filled bookmarked,18-20,text-secondary → text-brand bookmarked,Ribbon slides in from top (200ms). Pages fan on hover.,Saved reference,"bookmark, book-open","BookOpen, Bookmark"
158,Education,pencil-ruler,design drafting precision tools creative,Lucide,import { PencilRuler } from 'lucide-react',<PencilRuler />,Design tools. Drafting indicator. Precision work.,Outline,20-24,text-secondary,Tools cross/uncross on hover (200ms).,Design tools,"palette, pen-tool","PenTool, Palette"
159,Forms,text-cursor-input,text-field input type form write,Lucide,import { TextCursorInput } from 'lucide-react',<TextCursorInput />,Text input field. Form entry. Type indicator.,Outline,18-20,text-secondary | focus: text-brand,Cursor blink (800ms interval). Border glow on focus.,Text input,"keyboard, type","FormInput, Type"
160,Forms,list-checks,checklist todo tasks completed items,Lucide,import { ListChecks } from 'lucide-react',<ListChecks />,Checklist. Todo list. Task completion tracker.,Outline,18-20,text-secondary | complete: text-success,Checks appear stagger 150ms top→bottom.,Checklist / tasks,"check, list","ListTodo, CheckSquare"
161,Forms,toggle-left,switch off disabled inactive option,Lucide,import { ToggleLeft } from 'lucide-react',<ToggleLeft />,Toggle off state. Switch disabled. Option inactive.,Outline,20-24,text-muted,Knob slides left (200ms). Track dims.,Toggle off,"toggle-right, circle","ToggleRight, Power"
162,Forms,toggle-right,switch on enabled active option,Lucide,import { ToggleRight } from 'lucide-react',<ToggleRight />,Toggle on state. Switch enabled. Option active.,Filled,20-24,text-success | brand: text-brand,Knob slides right (200ms). Track brightens.,Toggle on,"toggle-left, check","ToggleLeft, Check"
163,Forms,radio,option select single-choice form input,Lucide,import { Circle } from 'lucide-react',<Circle />,Radio option. Single selection. Form choice.,Outline → Filled dot,18-20,text-secondary → text-brand selected,Inner dot scales 0→1 on select (150ms spring).,Select option,"check-circle, square","CircleDot, CheckCircle"
164,Forms,square-check,checkbox checked selected multi-choice,Lucide,import { SquareCheck } from 'lucide-react',<SquareCheck />,Checkbox checked. Multi-select. Confirmed option.,Outline → Filled + check,18-20,text-secondary → text-brand checked,Check draws inside box (200ms). Box fills simultaneously.,Checkbox checked,"square, check","CheckSquare, ListChecks"
165,Ecommerce,store,shop marketplace retail business storefront,Lucide,import { Store } from 'lucide-react',<Store />,Store front. Marketplace. Retail business section.,Outline,20-24,text-primary | open: text-success,Awning rolls down on hover (300ms). Door opens on click.,Store / shop,"shopping-cart, tag","ShoppingBag, Building2"
166,Ecommerce,package,order shipment delivery parcel product,Lucide,import { Package } from 'lucide-react',<Package />,Order package. Shipment tracking. Product delivery.,Outline → Filled shipped,20-24,text-secondary | shipped: text-brand,Box assembles/opens (300ms). Tracking: slide right.,Package / delivery,"truck, shopping-bag","PackageOpen, Truck"
167,Ecommerce,truck,delivery shipping transport logistics freight,Lucide,import { Truck } from 'lucide-react',<Truck />,Delivery truck. Shipping indicator. Transport status.,Outline,20-24,text-secondary | transit: text-brand animate,Wheels rotate + truck slides right on deliver (600ms).,Delivery / shipping,"package, map-pin","PackageCheck, MapPin"
168,Ecommerce,scan-barcode,barcode scan inventory product lookup,Lucide,import { ScanBarcode } from 'lucide-react',<ScanBarcode />,Barcode scanner. Inventory lookup. Product scan.,Outline,20-24,text-secondary | scanning: text-brand,Scan line sweeps down (400ms loop). Flash on success.,Scan barcode,"qr-code, search","QrCode, ScanLine"
169,Ecommerce,ticket,coupon voucher admission pass event,Lucide,import { Ticket } from 'lucide-react',<Ticket />,Coupon/voucher. Event ticket. Admission pass.,Outline,18-20,text-secondary | active: text-brand,Tear perforation animation on redeem (200ms).,Ticket / coupon,"tag, percent, gift","Tag, Percent"
170,Ecommerce,star-half,half-rating partial-score review,Lucide,import { StarHalf } from 'lucide-react',<StarHalf />,Half-star rating. Partial score. Fractional review.,Outline half-filled,18-20,text-warning half-fill,Fill sweeps to half (200ms).,Half rating,"star, star-off","Star, StarOff"
171,Dashboard,layout-dashboard,dashboard grid panels overview admin,Lucide,import { LayoutDashboard } from 'lucide-react',<LayoutDashboard />,Dashboard layout. Admin panel. Overview grid.,Outline → Filled active,20-24,text-secondary | active: text-brand,Panels scale in from center (200ms stagger).,Dashboard,"grid, bar-chart","Grid, LayoutGrid"
172,Dashboard,kanban,board columns tasks agile sprint workflow,Lucide,import { KanbanSquare } from 'lucide-react',<KanbanSquare />,Kanban board. Task columns. Agile workflow.,Outline,20-24,text-secondary,Columns slide in from left (200ms stagger). Cards drop in.,Kanban board,"list, columns","Columns, ListTodo"
173,Dashboard,table,data spreadsheet rows columns structured,Lucide,import { Table } from 'lucide-react',<Table />,Data table. Spreadsheet view. Structured data display.,Outline,18-20,text-secondary,Rows fade in top→bottom (100ms stagger).,Data table,"list, grid","Sheet, Grid"
174,Dashboard,panel-left,sidebar panel left-drawer navigation,Lucide,import { PanelLeft } from 'lucide-react',<PanelLeft />,Left sidebar panel. Navigation drawer. Panel toggle.,Outline,18-20,text-secondary | open: text-brand,Slide in from left edge (300ms ease).,Left panel,"sidebar, panel-right","PanelRight, Sidebar"
175,Dashboard,panel-right,sidebar panel right-drawer detail-pane,Lucide,import { PanelRight } from 'lucide-react',<PanelRight />,Right detail pane. Properties panel. Info drawer.,Outline,18-20,text-secondary | open: text-brand,Slide in from right edge (300ms ease).,Right panel,"panel-left, sidebar","PanelLeft, SidebarRight"
176,Dashboard,chart-area,area graph filled chart analytics trend,Lucide,import { AreaChart } from 'lucide-react',<AreaChart />,Area chart. Filled graph. Trend visualization.,Outline,20-24,text-brand,Area fills from bottom (500ms). Line draws L→R.,Area chart,"line-chart, bar-chart","LineChart, BarChart"
177,Misc,flame,hot trending fire popular viral,Lucide,import { Flame } from 'lucide-react',<Flame />,Hot/trending indicator. Popular content. Viral marker. Fire.,Outline → Filled hot,18-20,text-orange-500 | viral: text-error,Flicker animation (400ms loop). Intensify on viral.,Hot / trending,"trending-up, zap","TrendingUp, Sparkles"
178,Misc,snowflake,cold frozen freeze winter ice,Lucide,import { Snowflake } from 'lucide-react',<Snowflake />,Cold/frozen state. Winter indicator. Ice/freeze.,Outline,18-20,text-info,Rotate slowly (3s linear infinite). Sparkle on hover.,Frozen / cold,"thermometer, cloud-snow","Thermometer, CloudSnow"
179,Misc,shield-check,verified-secure protected trusted ssl,Lucide,import { ShieldCheck } from 'lucide-react',<ShieldCheck />,Verified secure. SSL indicator. Trust badge. Protected.,Filled,18-20,text-success | premium: text-gold,Shield glows then check draws (400ms).,Verified secure,"shield, lock, badge-check","BadgeCheck, Lock"
180,Misc,life-buoy,support help rescue customer-service assistance,Lucide,import { LifeBuoy } from 'lucide-react',<LifeBuoy />,Support/help. Rescue indicator. Customer service.,Outline,20-24,text-error | support: text-brand,Rotate gently (2s ease). Bobbing motion on hover.,Support / help,"help-circle, headphones","HelpCircle, Headphones"
181,Misc,headphones,audio music support listen customer-service,Lucide,import { Headphones } from 'lucide-react',<Headphones />,Audio listening. Support chat. Music mode.,Outline → Filled active,20-24,text-secondary | active: text-brand,Sound waves pulse from earpieces (400ms).,Audio / support,"mic, volume-2","Mic, AudioLines"
182,Misc,wifi,internet connected online network signal,Lucide,import { Wifi } from 'lucide-react',<Wifi />,Internet connected. Online status. Network signal.,Outline,18-20,text-success | weak: text-warning off: text-error,Waves pulse outward (600ms). Bars animate by strength.,Wi-Fi status,"wifi-off, signal","WifiOff, Signal"
183,Misc,wifi-off,disconnected offline no-internet,Lucide,import { WifiOff } from 'lucide-react',<WifiOff />,Disconnected. Offline state. No internet.,Outline,18-20,text-error,Cross-line draws through wifi (200ms).,No connection,"wifi, cloud-off","Wifi, CloudOff"
184,Misc,battery,power charge energy level device,Lucide,import { Battery } from 'lucide-react',<Battery />,Battery level. Power status. Device charge.,Outline → Fill by level,18-20,full: text-success | mid: text-warning | low: text-error,Fill animates to level (300ms). Flash on low.,Battery level,"battery-charging, zap","BatteryCharging, Zap"
185,Misc,battery-charging,charging power plugged-in energy,Lucide,import { BatteryCharging } from 'lucide-react',<BatteryCharging />,Charging state. Plugged in. Power restore.,Outline + bolt,18-20,text-success animate,Bolt flashes (600ms interval). Fill rises slowly.,Charging,"battery, zap, plug","Battery, Plug"
186,Misc,qr-code,scan code quick-response link mobile,Lucide,import { QrCode } from 'lucide-react',<QrCode />,QR code display. Scan target. Quick link.,Outline,24-48,text-primary,Scan line sweeps across (400ms). Corners highlight on scan.,QR code,"scan-barcode, link","ScanBarcode, Link"
187,Misc,at-sign,email mention handle username contact,Lucide,import { AtSign } from 'lucide-react',<AtSign />,Email at-sign. Mention trigger. Username handle.,Outline,16-18,text-secondary | mention: text-brand,Spiral draw animation on mount (300ms).,Email / mention,"mail, hash, user","Mail, Hash"
188,Misc,scissors,cut trim clip edit crop,Lucide,import { Scissors } from 'lucide-react',<Scissors />,Cut action. Trim content. Clip/crop.,Outline,18-20,text-secondary,Open/close blades on click (200ms).,Cut,"crop, move","Crop, Slice"
189,Misc,briefcase,work job business portfolio career,Lucide,import { Briefcase } from 'lucide-react',<Briefcase />,Business/work. Job indicator. Career section. Portfolio.,Outline,20-24,text-secondary | professional: text-brand,Clasp opens on hover (200ms). Lift 2px.,Work / business,"building, linkedin, users","Building2, Landmark"
190,Misc,building,company office organization enterprise,Lucide,import { Building2 } from 'lucide-react',<Building2 />,Company/organization. Office building. Enterprise.,Outline,20-24,text-secondary,Windows light up stagger (200ms).,Company / office,"briefcase, landmark","Briefcase, Landmark"
191,Misc,landmark,institution government bank official,Lucide,import { Landmark } from 'lucide-react',<Landmark />,Institution. Government building. Bank. Official entity.,Outline,20-24,text-secondary,Columns draw up (300ms stagger). Pediment last.,Institution / bank,"building, scale","Building2, Scale"
192,Misc,scale,justice balance legal equality measure,Lucide,import { Scale } from 'lucide-react',<Scale />,Justice/legal. Balance indicator. Equality/fairness.,Outline,20-24,text-secondary | imbalanced: text-warning,Pans tip side-to-side then settle (600ms).,Justice / balance,"landmark, gavel","Landmark, Equal"
193,Misc,megaphone,announcement broadcast marketing campaign shout,Lucide,import { Megaphone } from 'lucide-react',<Megaphone />,Announcement. Marketing campaign. Broadcast message.,Outline,20-24,text-brand | urgent: text-error,Sound waves emanate (400ms pulse). Shake for urgent.,Announcement,"bell, volume-2","Volume2, Radio"
194,Misc,newspaper,news article press release publication,Lucide,import { Newspaper } from 'lucide-react',<Newspaper />,News/article. Press release. Publication feed.,Outline,20-24,text-secondary,Unfold from top-left (300ms).,News / article,"book-open, file-text","BookOpen, FileText"
195,Misc,printer,print output document paper hard-copy,Lucide,import { Printer } from 'lucide-react',<Printer />,Print document. Paper output. Hard copy generation.,Outline,20-24,text-secondary,Paper slides out from top (300ms).,Print document,"file, download","FileOutput, Download"
196,Misc,scan-face,face-id recognition biometric identity,Lucide,import { ScanFace } from 'lucide-react',<ScanFace />,Face recognition. Face ID. Biometric identity verification.,Outline,24,text-brand | verified: text-success,Scan grid sweeps over face (500ms). Green flash on match.,Face recognition,"fingerprint, camera","Fingerprint, Camera"
197,AI,brain-circuit,neural-network machine-learning deep-learning ai-model,Lucide,import { BrainCircuit } from 'lucide-react',<BrainCircuit />,Neural network. ML model. Deep learning indicator.,Outline,20-24,text-brand gradient,Circuit paths light up sequentially (400ms loop). Pulse on inference.,Neural network,"brain, cpu, sparkles","Brain, Cpu, Sparkles"
198,AI,cpu,processor compute server hardware chip,Lucide,import { Cpu } from 'lucide-react',<Cpu />,Processing unit. Compute indicator. Server hardware.,Outline,20-24,text-secondary | processing: text-brand,Pins pulse outward (300ms). Core glows on compute.,Processing / compute,"brain-circuit, server","Server, BrainCircuit"
199,AI,message-square-plus,new-chat start-conversation ai-prompt compose,Lucide,import { MessageSquarePlus } from 'lucide-react',<MessageSquarePlus />,New AI chat. Start conversation. Compose prompt.,Outline,20-24,text-brand,Plus morphs to cursor blink (300ms). Bubble scales in.,New conversation,"bot, message-circle","MessageCircle, Bot"
200,AI,audio-lines,voice-wave speech sound-wave ai-voice transcribe,Lucide,import { AudioLines } from 'lucide-react',<AudioLines />,Voice waveform. Speech indicator. AI voice. Audio transcription.,Outline,20-24,text-brand | speaking: animate-pulse,Bars dance at random heights (400ms loop). Steady on pause.,Voice / audio AI,"mic, bot, headphones","Mic, SoundWave, Bot"