No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Animation Timing,Mobile Strategy,Dark Mode,Accessibility,Performance Impact,Conversion Optimization,When NOT to Use
1,Hero + Features + CTA,"hero, hero-centric, features, feature-rich, cta, call-to-action, saas, product, value-prop, standard, classic, overview",1. Hero (headline + subtext + CTA + visual) → 2. Trust bar (logos) → 3. Value proposition (3 pillars) → 4. Key features (3-5 cards/alternating sections) → 5. Social proof strip → 6. Bottom CTA → 7. Footer,"Hero: sticky nav CTA (ghost button) + Hero CTA (primary, large) + Bottom CTA (repeat hero CTA with urgency copy). Dual CTA option: primary 'Get Started' + secondary 'Watch Demo'.","Light: Hero bg gradient brand-50→white. Feature cards: white on #F8FAFC. CTA: brand-600 bg, white text, 7:1+ contrast. Trust logos: greyscale #94A3B8. Dark: hero bg brand-900→slate-900. Cards: slate-800. CTA: brand-400 on slate-900.","Hero parallax (0.3 speed ratio), feature cards hover lift 6px + shadow-lg, CTA glow ring on hover (box-shadow: 0 0 20px brand/30%), trust logos opacity 0.5→1 on scroll-in, feature icons fade-up stagger","Hero: fade-in 600ms + slide-up 40px ease-out. Trust bar: fade-in 400ms delay 200ms. Features: stagger 150ms each, IntersectionObserver threshold 0.2. CTA glow: 200ms ease. Parallax: transform translateY with requestAnimationFrame.","Stack hero vertically (image below headline on mobile). Feature cards: single column stack. Trust logos: horizontal scroll ticker. Sticky bottom CTA bar on mobile (fixed, 56px height). Hamburger nav.","Hero: brand-900 gradient→slate-950. Cards: slate-800 border-slate-700. Text: slate-100 heading, slate-300 body. CTA: brand-400 bg, slate-900 text. Reduce parallax intensity 50% in dark mode.",Hero heading: h1 with max-width 20ch. CTA: min 48x48px touch target. Feature cards: semantic headings h2/h3. Alt text on all visuals. Keyboard-navigable CTA. Skip-to-content link. Color contrast 7:1+ on CTA.,⚡ Excellent. Static hero image or optimized WebP. Lazy-load below-fold features. No heavy JS needed. LCP target: <2.5s.,"The workhorse pattern. Deep CTA placement (below features) converts 2-3x vs hero-only. Use contrasting CTA color (orange on blue, etc). Sticky nav CTA catches scroll-abandoners. A/B test: single CTA vs dual CTA. Trust logos increase conversion 15-25%.",Don't use for single-feature products (too much empty space). Avoid if you have <3 meaningful features. Not ideal for viral/meme products.
2,Hero + Testimonials + CTA,"hero, testimonials, social-proof, trust, reviews, cta, proof, quotes, credibility, authority, endorsement, customer-stories",1. Hero (headline + CTA) → 2. Problem statement (empathy) → 3. Solution overview (brief) → 4. Testimonials (3-5 carousel or grid) → 5. Optional: metric counters → 6. CTA section → 7. Footer,"Hero CTA (primary) + Post-testimonials CTA (repeat with social-proof context: 'Join 10,000+ happy customers'). Sticky nav CTA. Optional mid-page CTA between solution and testimonials.","Light: Hero: brand primary bg or split layout. Testimonials: #F8FAFC bg with white cards. Quote marks: brand-200 large decorative. Avatar ring: brand-500. Dark: testimonial cards slate-800, quote marks brand-700, avatar ring brand-400.","Testimonial carousel smooth slide (CSS scroll-snap), quote marks scale-in on viewport enter, avatar fade-in with slight scale 0.9→1, star ratings fill left→right, metric counters count-up animation","Testimonial cards: fade-up 500ms stagger 100ms on IntersectionObserver. Quote marks: scale 0→1 400ms ease-back. Avatars: fade-in 300ms. Star fill: 100ms per star stagger. Counter: 2s count-up with easing. Carousel: 400ms slide, CSS scroll-snap-type: x mandatory.","Testimonials: single column cards (no carousel on mobile — stack vertically). Show 2-3 testimonials, 'Show more' button for rest. Avatar: 48px circle. Large pull-quotes work great on mobile. Bottom sticky CTA.",Testimonial cards: slate-800 bg. Quote text: slate-200. Attribution: slate-400. Stars: amber-400. Avatar border: brand-500. Bg: slate-900.,"Testimonial cards: blockquote semantic HTML. Carousel: aria-live='polite', role='region'. Star ratings: aria-label='4.5 out of 5 stars'. Avatars: alt text with name. Pause carousel on hover/focus.",⚡ Excellent. Optimized avatar images (48px WebP). Lazy-load testimonials below fold. Counter: use IntersectionObserver to trigger. No heavy dependencies.,"Social proof before CTA increases conversion 34%. Use 3-5 testimonials minimum. Include photo + full name + role + company. Video testimonials convert 2x text. Metric counters (10,000+ users) add authority. Place CTA immediately after strongest testimonial.",Don't use if you have <3 genuine testimonials. Avoid fake/generic quotes. Not for brand-new products with zero users.
3,Product Demo + Features,"demo, product-demo, features, showcase, interactive, video, walkthrough, tour, saas-demo, screen-recording, loom","1. Hero (headline + demo CTA) → 2. Product video/interactive mockup (center stage, 16:9) → 3. Feature breakdown (alternating left/right sections with screenshots) → 4. Optional: comparison table → 5. CTA",Video play button (center hero) + CTA right of video or below + Feature section CTAs ('Try this feature') + Bottom CTA. Sticky nav 'Start Free Trial'.,Light: Video surround: brand-50 or dark overlay on poster. Feature screenshots: browser mockup with shadow. Icon accent: brand-500. Dark: video: slate-900 surround. Screenshots: slate-800 frame. Icons: brand-400.,"Video play button pulse ring (2s infinite), feature scroll-triggered reveals (slide from alternating sides), demo interaction highlights with pointer cursor animation, browser mockup tilt on hover","Play button pulse: scale 1→1.15 1.5s ease infinite. Feature reveals: slide-in 600ms from left/right alternating, IntersectionObserver threshold 0.3. Browser mockup: perspective(1000px) rotateY(2deg) on hover 400ms. Screenshot zoom: scale 1→1.02 on hover.","Video: full-width (remove mockup frame on mobile). Features: stack vertically, screenshots above text. Autoplay video muted with visible play button. Reduce mockup effects on mobile (no tilt). Thumbnail→video on tap.",Video player: dark surround always (looks natural). Feature sections: alternate slate-900/slate-850. Screenshots: slate-700 browser frame. Text: slate-100/300.,Video: captions/subtitles mandatory. Play button: aria-label='Play product demo video'. Feature images: descriptive alt text. Keyboard: space/enter to play. Transcript available.,"⚠ Moderate. Video: lazy-load, poster image first. Use <video> with preload='metadata'. Compress to <5MB. Interactive demo: load on demand. LCP: use poster image.",Embedded demos increase engagement 86%. Interactive mockups beat static screenshots 3:1. Auto-play muted video with captions. Show real UI (not illustrations). Feature sections with real screenshots convert better than icon grids.,Don't use without actual product footage. Avoid long videos (>90s for landing). Not for pre-product/concept stage. Skip interactive demo if load time >3s.
4,Minimal Single Column,"minimal, simple, direct, single-column, clean, focused, one-page, distraction-free, zen, indie, bootstrap, micro-saas","1. Hero headline (large, centered) → 2. Short description (2-3 sentences max) → 3. Benefit bullets (3 max, no cards) → 4. CTA (large, centered) → 5. Optional: tiny footer","Single CTA, center-aligned, large (min 200px wide). No nav CTA (no nav at all ideally). One action, one page, one decision. Optional: ghost secondary CTA ('Learn more ↓').",Light: Pure white #FFFFFF bg. Brand accent for CTA only. Text: near-black #0F172A. Zero decorative color. Dark: #09090B bg. Text: #F1F5F9. CTA: brand-400. Nothing else.,Minimal hover on CTA (scale 1.02 + shadow). Smooth scroll to CTA if secondary link. Subtle text fade-in on load. That's it — restraint is the design.,Hero text: fade-in 500ms. CTA: fade-in 600ms delay 300ms. Hover: scale 1→1.02 150ms ease. No scroll animations. No parallax. Speed is the feature.,Already mobile-first by nature. Full-width CTA button. Large text (18px+ body). Generous padding. Thumb-zone CTA placement. Perfect single-column pattern.,Dark: #09090B bg. Text: #E2E8F0. CTA: brand-400. Border: #1E293B if needed. Zero gradients. Ultra clean.,Excellent by default. Large text = readable. Single CTA = clear focus. High contrast. Minimal cognitive load. Screen reader friendly.,⚡ Excellent. Nearly zero JS. Static HTML/CSS. Sub-1s load. Perfect Lighthouse score. No images required.,"Single CTA focus = highest conversion rate per-visit for simple offers. Large typography (48-72px headline). Whitespace IS the design. No nav clutter. Works for: email capture, waitlist, single product. A/B test headline aggressively — it's all you have.",Don't use for complex products with multiple features. Avoid for enterprise/B2B (too simple). Not for comparison-heavy decisions.
5,Funnel (3-Step Conversion),"funnel, conversion, steps, wizard, onboarding, progressive, multi-step, guided, journey, pipeline, stage-gate",1. Hero (hook + entry CTA) → 2. Step 1: Problem identification (pain point) → 3. Step 2: Solution reveal (your product) → 4. Step 3: Action/result (social proof + CTA) → 5. Progress indicator throughout,"Each step: contextual mini-CTA ('Next step', 'See solution', 'Get started'). Final step: primary conversion CTA. Progress bar at top showing journey. Optional: sticky progress + CTA.","Light: Step 1: warm red-50 bg (problem/pain). Step 2: amber-50 (journey/process). Step 3: green-50 (solution/success). CTA: brand-600. Progress bar: brand-500 fill. Dark: red-950, amber-950, green-950 tints. CTA: brand-400.","Step number count-up animation, progress bar fill on scroll, step transitions with smooth scroll snap, icon morph between steps (problem→solution), confetti on final step",Progress bar: width transition 800ms ease-out synced to scroll. Step transitions: fade-in 500ms + slide-up 30px. Step numbers: scale bounce 0→1.2→1 300ms. Confetti: 500ms burst on CTA reach. Scroll-snap: proximity for flexibility.,Vertical step layout (works naturally on mobile). Progress bar: thin horizontal strip at top (sticky). Steps: swipeable sections. Each step = one screen height. Large step numbers as visual anchors.,Steps: slate-900 bg with colored left-border accent per step. Progress bar: brand-500 on slate-800 track. Step cards: slate-800. Text: slate-100/300.,Progress bar: role='progressbar' aria-valuenow. Steps: aria-current='step'. Step headings: h2. Keyboard: arrow keys between steps. Announce step changes to screen readers.,⚡ Good. CSS scroll-snap is lightweight. IntersectionObserver for progress. Minimal JS. Lazy-load step content below fold.,Progressive disclosure increases completion 40%. Show only essential info per step. 3 steps is optimal (cognitive ease). Multiple mini-CTAs catch users at each commitment level. Progress indicators reduce abandonment 28%.,"Don't use for simple products (over-engineered). Avoid >5 steps (abandonment spikes). Not for returning users (they want speed, not story)."
6,Video-First Hero,"video, hero, media, visual, engaging, cinematic, background-video, autoplay, brand-film, motion, immersive-hero","1. Hero: full-bleed video bg + headline overlay + CTA → 2. Key features (3-4, icon-based) → 3. Benefits section (alternating) → 4. Social proof → 5. Bottom CTA","Overlay CTA on video (center or bottom-left, high contrast) + Feature section CTAs + Bottom CTA. Sticky nav CTA. Play button for full video if hero is a teaser loop.",Light: Dark overlay 50-60% on video (#000000/50%). White text + white CTA outline or brand CTA. Below video: standard light bg. Dark: overlay 70% on video. Below: slate-900. CTA: brand-400 or white outline.,"Video autoplay muted loop, parallax scroll (video scrolls slower), text fade-in on load, play button pulse for full video, subtle vignette overlay","Video: autoplay muted loop playsinline (15-30s). Hero text: fade-in 800ms + slide-up 40px, 400ms delay. Play button: pulse scale 1→1.1 2s infinite. Scroll: video parallax 0.5 ratio. Vignette: radial-gradient overlay.",Replace video with poster image on mobile (<768px) — video kills mobile performance. Show play button for on-demand video. Stack hero text above poster. Reduce overlay darkness on mobile (text readability). Autoplay only on WiFi.,Overlay: 60% opacity on video (dark mode already). Below sections: slate-900 bg. Video naturally provides dark aesthetic. Text: white always on video. Below: slate-100/300.,"Video: always provide captions (track element). Autoplay: muted is accessible, add visible play/pause control. Poster image: descriptive alt text. Reduced motion: show poster only, no autoplay. Text overlay: ensure 7:1 contrast.","❌ Heavy. Video: compress aggressively (H.264, <5MB). Poster image as LCP. Preload='metadata' only. Consider IntersectionObserver to pause off-screen. Mobile: poster-only saves 5MB+. Lazy-load below-fold.",Video hero increases engagement 86% and time-on-page 2.6x. Keep loop 15-30 seconds. Must be brand/product video (not stock). Add captions always. Compress aggressively. Poster image as fallback. Play button for full version.,Don't use stock video (kills authenticity). Avoid on mobile-heavy audiences (performance). Not for text-heavy value props. Skip if video file >8MB.
7,Lead Magnet + Form,"lead, form, signup, capture, email, magnet, ebook, checklist, whitepaper, download, gated-content, opt-in, squeeze","1. Hero (benefit headline + lead magnet preview image) → 2. What's inside (3-5 bullet points) → 3. Form (minimal: name + email) → 4. Trust signals (privacy, no spam) → 5. Submit CTA","Form: above the fold (right side of hero on desktop). Submit button: large, full-width within form. Secondary: 'Preview first' text link. No other CTAs — pure focus on form submission.","Light: Form bg: white with subtle shadow. Inputs: #F1F5F9 bg, #CBD5E1 border, brand-500 focus ring. CTA: brand-600 full-width. Lead magnet preview: styled cover with shadow. Dark: form bg slate-800, inputs slate-700, CTA brand-400.","Form focus glow animation, input validation checkmarks (green) / shake (red), lead magnet cover 3D tilt hover, submit button loading spinner, success confetti + checkmark animation",Input focus: border-color 200ms + ring scale 0→1 150ms. Validation: shake 300ms (error) or checkmark draw 200ms (success). Submit: button shrinks to circle→spinner→checkmark 1.5s total. Confetti: 500ms burst. Cover tilt: perspective(600px) rotateY(5deg) 300ms.,"Form: full-width below hero image (stacked). Lead magnet preview: above form. Input: 48px height (thumb-friendly). Submit: full-width, 56px height. Show form immediately (no scroll needed). Autofocus first field.","Form: slate-800 bg, inputs: slate-700, focus: brand-500 ring. Submit: brand-400. Lead magnet cover: slate-700 shadow. Privacy text: slate-400.",Form: label elements linked to inputs. Error messages: role='alert'. Submit: descriptive text ('Download Free Guide'). Required fields: aria-required. Tab order: logical. Success: aria-live='polite' announcement.,"⚡ Excellent. Static form, no heavy JS. Validation: native HTML5 + minimal JS. Images: optimized cover preview. No third-party form libraries needed.","Form fields ≤3 for best conversion (each field reduces conversion 7%). Offer genuinely valuable lead magnet with preview. Show 'No spam, unsubscribe anytime'. Name+Email only. Smart defaults. Progress indicator if multi-step. A/B test: with vs without name field.",Don't use without genuinely valuable lead magnet. Avoid >4 form fields. Not for impulse purchases (too much friction). Skip if audience is form-fatigued (try chat instead).
8,Pricing Page + CTA,"pricing, plans, tiers, comparison, cta, subscription, saas-pricing, billing, monthly, annual, freemium, paywall","1. Hero (pricing headline: 'Simple, transparent pricing') → 2. Monthly/Annual toggle → 3. Pricing cards (3 tiers, center highlighted) → 4. Feature comparison table → 5. FAQ accordion → 6. Final CTA ('Still unsure? Talk to sales')",Each pricing card: CTA button (Get Started/Try Free/Contact). Sticky nav CTA. Toggle: monthly↔annual. Highlighted plan: 'Most Popular' badge. Bottom: 'Talk to Sales' for enterprise. Money-back guarantee badge near CTAs.,"Light: Free: slate-100 card, slate-600 CTA. Popular: brand-50 card, brand-600 CTA, brand-500 border, 'Popular' badge. Enterprise: slate-900 card, white CTA. Toggle: brand-500 active. Dark: Free: slate-800. Popular: brand-900, brand-400 CTA. Enterprise: slate-700.","Price toggle animation (counter morphs between monthly/annual), card hover lift + shadow, popular plan pulse badge, feature checkmark animations, FAQ accordion smooth expand, annual discount badge pop-in",Toggle: price counter 400ms morph (spring easing). Card hover: translateY(-4px) 200ms + shadow-xl. Badge: scale bounce 0→1.1→1 300ms on viewport enter. Checkmarks: draw-in 150ms stagger 50ms. FAQ: height auto 300ms ease. Discount badge: pop-in 200ms with rotate.,Pricing cards: horizontal scroll (scroll-snap) or stacked vertically. Popular plan first on mobile. Toggle: full-width pill selector. Feature table: responsive (card view per plan on mobile). FAQ: full-width accordion. Sticky bottom CTA on mobile.,Cards: slate-800. Popular: brand-900 border + brand-400 badge. Enterprise: slate-700 subtle gradient. Toggle: brand-500 on slate-700. Checkmarks: green-400. X marks: slate-600. Table: slate-800/850 alternating.,Toggle: role='radiogroup'. Cards: role='region' with aria-label. Prices: aria-live='polite' on toggle change. Feature table: proper table markup. FAQ: aria-expanded on buttons. Keyboard: tab between plans.,⚡ Excellent. Lightweight CSS + minimal JS for toggle/accordion. No heavy dependencies. Table: responsive CSS. Images: zero (icon-based).,Pre-select/highlight recommended plan (mid-tier). Show annual discount prominently (save 20-30%). Most Popular badge increases mid-tier selection 25%. FAQ addresses top 5 objections. Money-back guarantee near CTA increases conversion 18%. A/B test: 3 vs 4 tiers. Enterprise: 'Contact Sales' (qualify leads).,Don't use for single-product/single-price. Avoid >4 tiers (decision paralysis). Not for products where pricing needs explanation (use calculator instead).
9,Comparison Table Focus,"comparison, table, versus, compare, features, competitive, alternative, switch, migrate, vs, competitor",1. Hero (problem: 'Still using X? There's a better way.') → 2. Quick win summary (3 differentiators) → 3. Comparison matrix (you vs 2-3 competitors) → 4. Feature deep-dive (your advantages) → 5. Migration CTA ('Switch in 5 minutes'),After comparison table: 'Switch Now' CTA (highlighted in your column). Bottom: repeat CTA with migration ease messaging. Sticky column header with your brand on scroll. Quick-compare toggle for mobile.,"Light: Your column: brand-50 bg, brand-500 header. Competitor columns: slate-50, muted. Checkmarks: green-500. X marks: red-400. Your row winner: green-50 highlight. Dark: your column: brand-900. Competitors: slate-800. Checks: green-400. X: red-500.","Table row hover highlight, feature checkmark draw-in animations, sticky comparison header on scroll, winner badge animations, column spotlight on hover","Row hover: bg-change 150ms. Checkmarks: draw 200ms stagger 50ms on scroll-in. Sticky header: backdrop-blur(12px) on scroll. Winner badge: scale-in 300ms bounce. Column spotlight: opacity transition 200ms (highlight yours, dim others).","Mobile: transform table into stacked comparison cards (one per competitor). Or horizontal scroll with sticky first column (your product). Swipe between competitors. Condensed view: show top 5 features only, 'See all' expander.",Your column: brand-900 bg. Competitors: slate-800. Checks: green-400. X: red-400/slate-600. Header: brand-500 accent. Row hover: slate-700.,Table: proper <table> markup with <thead>/<tbody>. Column headers: scope='col'. Row headers: scope='row'. Checkmarks: aria-label='Available'. X marks: aria-label='Not available'. Sortable: aria-sort.,⚡ Excellent. Pure HTML table + CSS. No heavy JS. Sticky header: CSS position:sticky. Responsive: CSS grid transformation.,Comparison increases conversion 35% (helps decision-making). Be factual and honest (don't lie about competitors). Highlight unique differentiators. Include pricing row if favorable. Show migration ease ('Import in 1 click'). Link to detailed comparison pages per competitor.,Don't use if you lose most comparisons. Avoid comparing >3 competitors (cluttered). Not for category-creators (no one to compare to). Skip if competitors might take legal action.
10,Scroll-Triggered Storytelling,"storytelling, scroll, narrative, story, immersive, journey, timeline, chapters, progressive-reveal, parallax-story, long-form","1. Hook/intro (full-screen, arresting headline) → 2. Chapter 1: The Problem (pain, empathy) → 3. Chapter 2: The Journey (discovery, process) → 4. Chapter 3: The Solution (your product reveal) → 5. Climax CTA (transformed state) → 6. Epilogue (social proof + final CTA)",Each chapter end: subtle mini-CTA ('Skip to solution →'). After Chapter 3: primary CTA. Climax: large conversion CTA. Skip button always visible for impatient users. Progress indicator doubles as chapter nav.,Light: Chapter 1: warm/red-tinted bg (problem). Chapter 2: neutral/amber transition. Chapter 3: cool/brand-colored (solution). Climax: brand-600 full bg. Progressive intensity. Dark: same progression but deeper tones. Red-950→amber-950→brand-950→brand-600.,"ScrollTrigger animations, parallax layers (foreground/background), progressive disclosure, chapter transitions with color morph, text pinning, image sequence (scroll-driven), progress timeline fill",Scroll-driven: GSAP ScrollTrigger or CSS scroll-timeline. Text pin: position sticky with fade transitions. Chapter transition: bg-color morph 100vh over scroll. Parallax: 3 layers (0.2/0.5/1.0 speed). Progress: scroll-linked width animation. Image sequence: 30fps frame swap.,Simplify to vertical scroll with fade-in sections (remove parallax layers). Chapters: clear visual breaks with chapter numbers. Progress: thin horizontal bar at top. Reduce animation intensity 70%. Ensure text is readable without animations (graceful degradation).,Chapter bgs: slate-950 with colored accent borders/gradients per chapter. Text: slate-100. Progress: brand-500 on slate-800. Climax: brand-600 full bg.,"Reduced motion: disable parallax/pinning, show all content statically. Progress bar: role='progressbar'. Chapter nav: keyboard navigable. Skip button: always visible. Content readable without JS. Headings: proper h1-h3 hierarchy.",❌ Heavy. GSAP/ScrollTrigger: ~30KB. Image sequences: lazy-load frames. Debounce scroll handlers. GPU-accelerate transforms. Mobile: stripped-down version. Target: 60fps scroll. Test on low-end devices.,"Narrative increases time-on-page 3x and emotional connection. Use for complex/emotional products. Progress indicator is essential (reduces abandonment 40%). Skip button for power users. Limit to 3-4 chapters (attention spans). Mobile: simplify aggressively. Works best for brand stories, not feature lists.",Don't use for simple products. Avoid if mobile audience >60% (performance). Not for utility/tool products. Skip if page load >3s (users leave before story starts).
11,Waitlist / Coming Soon,"waitlist, coming-soon, launch, early-access, notify, pre-launch, beta, teaser, countdown, exclusive, anticipation, mvp","1. Hero: countdown timer + product teaser + email capture → 2. Product preview (mockup/video teaser) → 3. What's coming (3 key features, teased) → 4. Social proof: waitlist count + notable signups → 5. Referral program CTA","Email form: above the fold, prominent. Single field (email only). Submit: 'Join Waitlist' or 'Get Early Access'. Show waitlist count as social proof. Referral: 'Move up the list — invite friends'. Sticky form on scroll.","Light: Dark/premium bg (slate-900 or brand-900) = exclusivity. Countdown: brand-500 digits on dark. Email input: white on dark. Accent highlights: brand-400. Teaser: gradient brand-500→brand-700. Dark: natural fit — slate-950 bg, brand-400 accents.","Countdown timer (flipping digits), email validation real-time, success confetti + waitlist position reveal, social share buttons fly-in, waitlist counter tick-up, teaser mockup float animation",Countdown: flip animation 500ms per digit. Email validation: checkmark draw 200ms on valid. Submit: button→spinner→confetti 1.5s. Position reveal: counter 800ms count-up. Mockup: float up/down 3s infinite subtle. Share buttons: stagger slide-in 100ms.,"Countdown: compact horizontal. Email: full-width input + button stacked. Teaser: simplified (image only, no 3D). Share buttons: native share API on mobile. One-thumb signup flow. Show position immediately after signup.","Natural dark pattern. Slate-950 bg. Brand-400 accents. Countdown: brand-300 digits. Input: slate-800 bg, white text. Submit: brand-500.",Countdown: aria-live='polite' for updates. Form: proper label. Success message: aria-live='assertive'. Timer: aria-label='Time remaining until launch'. Referral: accessible share buttons.,⚡ Good. Countdown: lightweight JS timer. No heavy framework needed. Compress teaser images. Lazy-load below-fold content.,Scarcity + exclusivity = urgency. Show waitlist count (social proof). 'X people ahead of you' creates FOMO. Referral program: 'Skip the line by inviting 3 friends'. Early access benefits list. Product teaser (don't reveal everything). A/B test: countdown vs no countdown.,Don't use if launch is >6 months away. Avoid without actual product progress to show. Not for established products (use standard landing).
12,AI Personalization Landing,"ai, personalization, smart, recommendation, dynamic, adaptive, segment, ab-test, customized, tailored, machine-learning",1. Dynamic hero (personalized headline + image per segment) → 2. Relevant features (filtered by user interest) → 3. Tailored testimonials (industry-matched) → 4. Smart CTA (personalized offer) → 5. Fallback: best-performing static version for new users,"Context-aware CTA: changes text based on referral source, industry, behavior. New user: 'Start Free Trial'. Returning: 'Welcome back — continue setup'. From competitor page: 'Switch from [X] in minutes'. Enterprise traffic: 'Talk to Sales'.",Light: Adaptive based on segment. Tech: blue palette. Creative: vibrant/pink. Enterprise: navy/conservative. Default: brand standard. Dark: same logic with dark variants. Always A/B test color per segment.,"Dynamic content swap (fade transitions), personalized hero image swap, recommendation carousel, segment-detection loading shimmer, A/B variant smooth transition",Content swap: crossfade 300ms. Hero image: fade 400ms with blur(5px) transition. Recommendations: stagger slide-in 150ms. Shimmer loading: 1.5s infinite while personalizing. Fallback: instant render (no loading state).,Same personalization logic. Ensure fallback renders in <1s. Personalized content loads async. Mobile: simpler personalization (fewer variants). Test: does personalization improve mobile conversion?,Adapts per segment. Ensure all variants have proper dark mode. Test each segment's dark variant separately.,Ensure all dynamic content has proper ARIA updates. aria-live for swapped content. No content flash. Fallback content accessible immediately. Test each variant for accessibility.,⚠ Moderate. Requires analytics integration (segment detection). Server-side personalization preferred (no flash). Client-side: show shimmer while loading. Cache segment data. Fallback: static page in <1s.,"Personalization increases conversion 20-30%. Requires analytics integration (Segment, Amplitude, etc). A/B test everything per segment. Fallback for new users is critical (best-performing static). Don't over-personalize (uncanny valley). Start simple: 3 segments max. Measure lift per segment.",Don't use without proper analytics infrastructure. Avoid if traffic <10k/month (not enough data). Not for simple products. Skip if you can't maintain multiple content variants.
13,Funnel: Before-After Transformation,"before-after, transformation, results, comparison, slider, reveal, proof, outcomes, success-story, case-study, visual-proof",1. Hero (problem state: 'Are you still dealing with X?') → 2. Before/After interactive slider or comparison → 3. How it works (3 simple steps) → 4. Results metrics (counters) → 5. Customer transformation stories → 6. CTA ('Start your transformation'),After transformation reveal: primary CTA. Below results metrics: reinforcement CTA with specific outcome ('Get 3x results'). Bottom: urgency CTA with guarantee. Before/after slider: implicit CTA to try product.,"Light: Before: desaturated/grey palette (#94A3B8 tint), muted, slightly dark overlay. After: vibrant, full-color, brand-tinted, bright, green-50 success glow. Transition: grey→color reveals value. Dark: before: slate-800 muted. After: brand-400/green-400 vibrancy.","Before/after slider interaction (drag handle), grey→color reveal animation, result counter count-up, transformation video play, customer photo morph, confetti on 'after' reveal","Slider: CSS resize or custom drag handle, 60fps. Grey→color: filter: grayscale(1)→grayscale(0) 800ms on scroll. Counters: 2s count-up on IntersectionObserver. Photo morph: crossfade 500ms. Confetti: 400ms burst on after-reveal.",Slider: touch-friendly drag (min 44px handle). Or tap-to-toggle before/after. Stack before above after on narrow screens. Results: horizontal scroll metric cards. Transformation stories: swipeable cards.,"Before: slate-800, desaturated. After: vibrant brand colors on slate-900. Slider: brand-500 handle. Metrics: green-400 for positive results.",Slider: role='slider' aria-valuemin/max. Before/after images: descriptive alt text for both states. Metrics: aria-label with full number. Keyboard: arrow keys for slider. Reduced motion: show both states side-by-side.,⚡ Good. Slider: lightweight custom JS. Images: optimized before/after. Counters: IntersectionObserver. No heavy library needed.,Visual proof of value increases conversion 45%. Show real results (not mockups). Specific metrics beat vague claims ('3.2x faster' > 'much faster'). Include guarantee offer. Before/after slider is highly engaging (interaction increases trust). Customer stories with photos + specific outcomes.,Don't use without real before/after data. Avoid misleading comparisons. Not for products without measurable outcomes. Skip if results are minimal/hard to visualize.
