No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Recommended Effects,Animation Timing,Mobile Strategy,Dark Mode,Accessibility,Performance Impact,Conversion Optimization,When NOT to Use
14,Pricing-Focused Landing,"pricing, price, cost, plans, subscription, tier, freemium, premium, enterprise, billing, plan-comparison, upgrade",1. Hero (value headline: 'Everything you need for $X/mo') → 2. Pricing cards (3 tiers: Free/Pro/Enterprise) → 3. Feature comparison toggle table → 4. Calculator (optional: 'How much will you save?') → 5. FAQ → 6. Final CTA + guarantee,Each pricing card: dedicated CTA. Highlighted/recommended plan: larger CTA + 'Most Popular' badge. Sticky nav: 'Start Free'. Toggle: Monthly↔Annual. Bottom: 'Still unsure? Talk to our team'. Guarantee badge near all CTAs.,"Light: Free: white card, grey CTA. Pro: brand-50 card, brand-600 CTA, brand-500 ring, Popular badge gold. Enterprise: slate-900 card, white text, white CTA. Annual toggle: green-500 savings badge. Dark: Free: slate-800. Pro: brand-900 glow. Enterprise: slate-700.","Price counter morph on toggle, card hover lift, popular plan subtle pulse border, feature table row highlights, FAQ smooth accordion, savings calculator real-time update, guarantee badge shimmer",Price morph: 400ms spring on toggle. Card lift: translateY(-6px) 200ms. Popular pulse: brand-500 border opacity pulse 2s infinite subtle. Table row: bg 150ms on hover. FAQ: max-height transition 300ms. Calculator: counter 300ms on input change.,Cards: vertical stack (popular first). Toggle: pill selector full-width. Feature table: card-per-plan view. FAQ: full-width accordion. Calculator: simplified (fewer inputs). Sticky bottom bar: 'Start Free Trial'.,Cards: slate-800. Popular: brand-900 with brand-400 border glow. Enterprise: slate-700. Toggle: brand-500 active on slate-700 track. Table: slate-800/850. FAQ: slate-800.,Toggle: role='radiogroup'. Price change: aria-live='polite'. Cards: role='region'. Feature table: proper table markup. FAQ: aria-expanded. Calculator: aria-live for results.,⚡ Excellent. Minimal JS (toggle + accordion). No framework needed. CSS-only card effects. Calculator: vanilla JS.,Pre-select recommended plan. Annual discount: show savings prominently ('Save $120/year'). Most Popular badge: 25% more selections. FAQ: address top 5 pricing objections. Money-back guarantee: +18% conversion. Calculator: personalized savings increase intent. A/B test: 3 vs 2 tiers.,Don't use for single-price products. Avoid >4 tiers. Not for products requiring custom quotes (use calculator + contact instead).
15,App Store / Download Landing,"app, mobile, download, store, install, ios, android, play-store, app-store, mobile-app, pwa",1. Hero (device mockup + headline + download buttons) → 2. Screenshots carousel (device frames) → 3. Features with icons (3-5) → 4. Ratings/reviews section → 5. Download CTAs (repeated) → 6. QR code section,Download buttons (App Store + Play Store) in hero + bottom. Sticky bottom bar on mobile with download buttons. QR code for desktop→mobile bridge. Deep link buttons. Rating badge near CTAs.,"Light: Dark bg hero (device stands out) or light with device shadow. Screenshots: device frames (iPhone/Android). Star ratings: amber-400. Download badges: official Apple/Google artwork. Dark: slate-950 bg, device with glow, screenshots with slate-800 frame.","Device mockup 3D rotation on scroll, screenshot slider with device frame, star rating fill animation, download button pulse, QR code generate animation, parallax device float","Device rotate: scroll-driven, perspective(1200px) rotateY(5→-5deg). Screenshots: CSS scroll-snap 400ms. Stars: fill left→right 150ms stagger. Download pulse: scale 1→1.05 2s infinite. Device float: translateY 8px 3s infinite ease-in-out.","Hero: device mockup smaller, centered. Screenshots: horizontal scroll (full-width, snap). Download: platform-detect (show relevant store first). QR code: hide on mobile. Deep link: direct to store. Sticky bottom download bar.",Hero: slate-950 (device mockups look best on dark). Screenshots: slate-800 frames. Stars: amber-400. Text: slate-100. Natural dark-first pattern.,Download buttons: descriptive aria-label ('Download on App Store'). Screenshots: alt text per screen. Rating: aria-label='Rated 4.8 out of 5 stars'. QR code: alt text with URL. Carousel: keyboard navigable.,⚡ Good. Device images: optimized WebP. Screenshots: lazy-load. No heavy JS for carousel (CSS scroll-snap). QR: generate server-side or lightweight lib.,Show real screenshots (not mockups). Include ratings 4.5+ stars. QR code bridges desktop→mobile (15% of desktop visitors scan). Platform-detect: show relevant store first. Video preview: 30s app walkthrough. A/B test: with vs without QR code.,Don't use for web-only products. Avoid if app rating <4.0. Not for PWAs (different distribution). Skip QR if audience is already mobile.
16,FAQ / Documentation Landing,"faq, documentation, help, support, questions, knowledge-base, help-center, troubleshoot, guide, wiki, self-service","1. Hero with search bar (large, centered) → 2. Popular/trending questions (quick links) → 3. Category cards (icon + title + count) → 4. FAQ accordion (categorized) → 5. Contact support CTA (for unresolved)",Search bar: hero-level prominence (the primary CTA IS the search). Category cards: click to filter. FAQ items: 'Was this helpful?' Yes/No. Bottom: 'Can't find what you need? Contact us'. Sticky search on scroll.,"Light: Clean white bg. Category icons: brand-500. Search: large, white bg, subtle shadow, brand-500 focus ring. Helpful: green-500 yes, red-400 no. Contact CTA: brand-600. Dark: slate-900. Category icons: brand-400. Search: slate-800 bg. Accordion: slate-800 items.","Search autocomplete dropdown, smooth accordion expand/collapse, category hover scale + shadow, helpful feedback animation (thumb bounce), search results highlight/filter, contact form slide-in","Autocomplete: 200ms debounce, dropdown fade-in 150ms. Accordion: max-height + opacity 300ms ease. Category hover: scale 1.02 + shadow-lg 200ms. Helpful click: thumb scale 1→1.3→1 200ms. Search filter: results fade-in 200ms stagger.","Search: full-width, auto-focus on load. Categories: 2-column grid. FAQ: full-width accordion. Helpful buttons: large touch targets (48px). Contact: sticky bottom bar. Voice search button on mobile.","Search: slate-800 bg, white text. Categories: slate-800 cards. Accordion: slate-800 items, slate-700 border. Helpful: green-400/red-400. Contact: brand-400.","Search: role='searchbox', aria-label. Autocomplete: aria-expanded, aria-activedescendant. Accordion: aria-expanded on triggers. Helpful: aria-label='Was this answer helpful?'. Keyboard: full navigation. Skip-to-search link.",⚡ Excellent. Search: lightweight autocomplete (no heavy lib). Accordion: CSS-only or minimal JS. Categories: static. No framework needed.,Search bar IS the CTA — make it huge and obvious. Track search analytics (find content gaps). Show popular questions (80/20 rule). 'Was this helpful?' reduces support tickets 30%. Categorize by user journey. Contact escalation path: FAQ→chat→email→phone. A/B test: search-first vs category-first.,Don't use as primary landing for new visitors. Avoid for <20 FAQ items (use simple FAQ section instead). Not for product marketing (this is support).
17,Immersive / Interactive Experience,"immersive, interactive, experience, 3d, animation, webgl, threejs, creative, experimental, gamification, exploratory, engagement","1. Full-screen interactive element (3D scene, game, configurator) → 2. Guided product tour (triggered by interaction) → 3. Key benefits revealed through interaction → 4. CTA after completion → 5. Skip option (always visible)","After interaction complete: primary CTA (earned through engagement). Skip button: always visible, small, top-right ('Skip to product →'). Progress indicator: shows completion %. Reward CTA: 'You explored everything — here's 20% off'.","Light: Dark background mandatory for focus on interactive element. Brand accent for highlights. Neon/glow effects for interactive hotspots. Minimal UI chrome. Dark: natural fit — dark bg, bright interactive elements, glow accents.","WebGL 3D scene, particle effects, scroll-driven interactions, gamification (collect/discover), reveal animations on interaction, reward celebrations, progress breadcrumbs",3D: 60fps target (Three.js/R3F). Particle: GPU-accelerated. Scroll-driven: requestAnimationFrame throttled. Reveals: 300ms fade-in on trigger. Reward: confetti 500ms burst. Progress: smooth width transition 200ms. Skip: always instant.,2D fallback mandatory on mobile. Simplified interaction (tap instead of hover). Reduce particle count 70%. Touch-friendly hot spots (min 48px). Option: 'View full experience on desktop'. Performance-first: test on low-end Android.,"Dark by nature. Interactive elements: bright brand/accent colors. UI overlays: white/light text. Progress: brand-500. Skip: white text, semi-transparent bg.","Skip button: always accessible, visible, keyboard-focusable. Reduced motion: static fallback with key screenshots. Interactive elements: keyboard alternatives. Screen reader: descriptive narration of what's happening. Time limit: none (self-paced).",❌ Heavy. WebGL: significant JS payload (Three.js ~150KB). Lazy-load 3D scene. Show loading progress. Poster/screenshot as immediate render. LCP: use placeholder. Budget: 3s to interactive on 4G. Mobile: 2D fallback saves 200KB+.,"40% higher engagement than static pages. BUT performance trade-off is real. Always provide skip option (30% of users will skip). Reward completion ('Congrats! Here's an offer'). Track interaction depth analytics. Mobile: simplified version is okay. Progressive enhancement: HTML first, 3D enhances.","Don't use if audience is utility-focused (they want info, not play). Avoid without WebGL fallback. Not for mobile-heavy traffic without 2D alternative. Skip if load time >5s."
18,Event / Conference Landing,"event, conference, meetup, registration, schedule, summit, workshop, seminar, webinar, hackathon, expo, ticket",1. Hero (event name + date + location + countdown + register CTA) → 2. Speakers grid (photos + bios) → 3. Agenda/schedule (tabs by day/track) → 4. Venue + map → 5. Sponsors/partners logos → 6. Ticket tiers + Register CTA,"Register CTA: sticky in nav + hero (primary, large) + after speakers + after agenda + bottom. Countdown creates urgency. Early bird pricing with deadline. Multi-ticket discounts. 'Add to Calendar' after registration.","Light: Hero: dark overlay on venue photo or brand gradient. Countdown: brand-500 digits. Speaker cards: white with brand-50 hover. Agenda: tabbed with brand accent. Sponsors: greyscale logos. Tickets: similar to pricing cards. Dark: slate-900 bg, brand-400 accents.","Countdown timer flip digits, speaker card hover reveal bio, agenda tab smooth switch, venue map interactive, sponsor logo carousel, early bird countdown, registration form progress, ticket card hover lift","Countdown flip: 500ms per digit, CSS 3D transform. Speaker hover: translateY(-4px) 200ms + bio overlay fade 200ms. Agenda tabs: content crossfade 200ms. Map: lazy-load, interactive on click. Sponsor logos: infinite scroll 30s linear. Ticket hover: lift 4px 200ms.",Hero: stacked (countdown below headline). Speakers: horizontal scroll cards. Agenda: accordion by day (not tabs). Venue: static map image→link to Google Maps. Sponsors: grid. Tickets: stacked cards. Sticky bottom register bar.,Hero: dark overlay on venue photo (natural). Cards: slate-800. Agenda: slate-800 tabs. Map: dark-mode tiles. Sponsors: white logos on dark.,Countdown: aria-live='polite'. Speakers: card with role='article'. Agenda: tabpanel pattern. Map: aria-label with address. Registration form: proper labels. Tickets: comparable to pricing accessibility.,"⚡ Good. Countdown: lightweight JS. Speaker images: optimized, lazy-loaded. Map: lazy-load on demand. Sponsor carousel: CSS-only. No heavy framework needed.",Early bird pricing with deadline (countdown creates 3x urgency). Speaker credibility = ticket driver. Show past event photos/videos. Attendee count as social proof. Multi-ticket discounts. 'Add to Calendar' reduces no-shows 40%. A/B test: with vs without countdown.,Don't use for online-only events (use webinar pattern instead). Avoid if event is >6 months away (too early for tickets). Not for free events with unlimited capacity (no urgency).
19,Marketplace / Directory,"marketplace, directory, search, listing, platform, aggregator, classifieds, catalog, browse, discover, two-sided, p2p","1. Hero: search bar (central, large) + category quick-links → 2. Featured/trending listings → 3. Category grid (visual) → 4. Trust & safety section → 5. Seller CTA ('List your item/service') → 6. Footer with popular searches",Search bar IS the primary CTA (hero-level prominence). Category cards: direct to filtered results. Featured listings: click to detail. Dual CTA: buyer ('Search') + seller ('Become a seller'). Sticky search on scroll. Recent/popular searches hint.,"Light: Search: white bg, brand-500 focus, large. Categories: colorful icons on white cards. Listings: white cards, subtle shadow. Trust: green-500 badges. Dark: search: slate-800 bg. Categories: slate-800 cards with brand-400 icons. Listings: slate-800 cards.","Search autocomplete with thumbnails, category hover scale, listing card hover lift + preview, map pin hover sync (if map view), infinite scroll load, trust badge pulse, filter animation slide-in","Autocomplete: 150ms debounce, dropdown 200ms. Category: scale 1.02 200ms. Listing hover: translateY(-4px) 200ms + shadow. Map pin: bounce on card hover. Infinite scroll: skeleton placeholders 200ms fade. Filters: slide-in from left 300ms.",Search: full-width hero. Categories: horizontal scroll (scroll-snap). Listings: single column cards. Map: toggle view (list↔map). Filters: bottom sheet (not sidebar). Sticky search + filter bar. Pull-to-refresh.,Search: slate-800. Cards: slate-800. Category icons: brand-400. Map: dark tiles. Filters: slate-800 sheet.,Search: proper role. Autocomplete: aria patterns. Listings: card landmark. Filters: dialog/sheet accessible. Map: aria-label per pin. Infinite scroll: announce new results. Price: aria-label with full value.,"⚠ Moderate. Many listings = virtual scrolling recommended. Images: lazy-load, WebP. Map: load on demand. Autocomplete: debounced. Skeleton loading for perceived performance.",Search bar is the CTA — make it impossible to miss. Reduce friction to first search. Popular/recent searches as hints. Category browsing for undecided users. Social proof: 'X listings in your area'. Seller acquisition: prominent 'List your product' CTA. A/B test: search-first vs category-first.,Don't use without sufficient listings (empty marketplace = dead). Avoid without search functionality. Not for single-vendor stores (use e-commerce pattern).
20,Newsletter / Content First,"newsletter, content, writer, blog, subscribe, substack, beehiiv, author, publication, digest, email-list, creator-writing","1. Hero: value prop + inline email form (single field) → 2. Recent issues/sample content → 3. Social proof ('Join X,000 readers') → 4. About the author/team → 5. Archive/browse section","Hero inline form: email + Subscribe button (above the fold). Sticky header form (condensed). Bottom: repeat form. Show 'Join X,000 readers' near every form. 'Read a sample' link as secondary CTA (reduces friction).",Light: Minimalist. Paper-like bg (#FAFAF9 or #FFFFF5). Text-heavy: near-black on warm-white. Accent: single brand color for Subscribe. Author photo: warm border. Dark: slate-900 bg. Text: slate-200. Paper feel: subtle warm tint. Subscribe: brand-400.,"Text highlight animations, typewriter effect on headline, fade-in on sample content, subscriber counter tick-up, author photo gentle float, email validation inline, success celebration",Typewriter: 60ms per character 800ms total. Text highlight: bg-brand-100 spread 300ms. Sample content: fade-in 400ms stagger. Counter: 1.5s count-up. Author float: translateY 4px 3s infinite. Validation: checkmark 200ms. Success: confetti 400ms.,"Form: full-width email + submit stacked. Sample content: full-width cards. Author: centered bio card. Archive: simple list. Everything readable and tappable. Single-column, content-first.",Warm-dark: slate-900 with warm tint. Text: slate-200 (not pure white for reading). Subscribe: brand-400. Sample cards: slate-800. Author: slate-800 card.,Form: proper label linked to input. Subscribe: descriptive button text. Sample content: semantic article markup. Author: aria-label with name. Counter: aria-live. Archive: proper list markup.,⚡ Excellent. Nearly zero JS needed. Static content. Typewriter: CSS animation. Counter: IntersectionObserver. Ultra-fast page.,"Single field (email only) = highest conversion. Show 'Join 10,000+ readers' (social proof). Sample content link reduces subscribe anxiety. Author credibility matters. A/B test: with vs without subscriber count. Frequency expectation ('Every Tuesday'). Unsubscribe promise near form.",Don't use without genuine content samples. Avoid subscriber count if <500 (looks small). Not for high-frequency newsletters without archive proof.
21,Bento Grid Showcase,"bento, grid, features, modular, apple-style, showcase, cards, dashboard-preview, multi-feature, visual-dense, spec-grid","1. Hero (headline + subtext) → 2. Bento grid (6-8 feature cards, mixed sizes: 2x2, 1x1, 2x1, 1x2) → 3. Optional: tech specs row → 4. CTA section → 5. Footer",Bottom of grid: primary CTA. Individual bento cards: can be clickable (drill-down). Floating CTA button option. Hero: minimal CTA (let grid sell). Each card: subtle 'Learn more →' link.,Light: Cards bg: #F5F5F7 (Apple grey) or white with subtle border. Icons/visuals: vibrant brand accent per card. Text: near-black. Hero bg: white. Dark: cards: slate-800/glass (backdrop-blur). Icons: brand-400. Text: slate-100. Bg: slate-950.,"Card hover: scale 1.02 + shadow-xl, video autoplay inside cards, 3D tilt effect (perspective), staggered scroll-reveal, card content parallax, glass-morphism blur on dark mode","Card hover: scale(1.02) 200ms + shadow transition. Tilt: perspective(1000px) rotateX/Y(2deg) based on mouse position (JS). Stagger reveal: 100ms per card, fade-up 400ms. Video in card: autoplay muted on viewport enter. Glass: backdrop-blur(20px) bg-white/10.",Bento grid: collapses to single column (1x1 all cards) on mobile. Maintain card order by priority. Video cards: poster image on mobile (save bandwidth). Cards: full-width stacked. Touch: no tilt effect. Swipeable horizontal row option for key cards.,Cards: slate-800 with glass effect (bg-white/5 backdrop-blur-xl border-white/10). Icons: brand-400. Videos: work naturally on dark. Text: slate-100/300. Premium dark aesthetic.,Cards: role='article' or semantic sections. Headings: h2/h3 per card. Videos: captions + poster. Tilt effect: disabled for reduced motion. Cards: keyboard focusable with focus-visible ring. Grid: landmark region.,"⚡ Good. CSS Grid for layout. Cards: lightweight. Videos: lazy-load, poster first. Tilt: remove on mobile (saves CPU). Glass: GPU-accelerated. 3D tilt: throttled mousemove.",Apple-style information density without clutter. Scannable feature overview. Mixed card sizes create visual hierarchy (bigger = more important). Video inside cards = high engagement. Works for product launches. A/B test: bento vs alternating feature sections. Mobile: stack order matters.,Don't use without strong visual assets per card. Avoid if features are text-heavy (bento is visual). Not for simple products with <4 features. Skip video cards if they slow load >3s.
22,Horizontal Scroll Journey,"horizontal, scroll, journey, gallery, storytelling, panoramic, immersive, timeline, experience, sideways, creative",1. Vertical intro section → 2. Horizontal scroll track (the journey: 4-6 panels with story/features) → 3. Detail reveal at each panel → 4. Vertical footer with CTA,Floating sticky CTA (visible throughout horizontal scroll) or CTA at end of horizontal track. Skip button: 'Jump to pricing →'. Progress indicator: horizontal dots or bar. Each panel: optional micro-CTA.,Light: Continuous palette transition through panels (cool→warm or brand gradient). Progress: brand-500. Panel bg: alternating brand-50/white. Dark: panels: slate-900→slate-800 alternating. Accent colors per panel. Progress: brand-400 on slate-700.,"Scroll-jacking (transform: translateX synced to scrollY), parallax layers within panels, progress indicator, panel reveal animations, snap to panel centers, floating navigation dots",Horizontal transform: translateX synced to scroll via JS (60fps). Snap: scroll-snap-type or JS snap at panel boundaries. Panel content: fade-in when centered (opacity + scale). Progress: width synced to scroll %. Parallax: inner elements at 0.5 speed ratio. Dots: active dot scale 1.5x.,⚠ CRITICAL: Horizontal scroll is problematic on mobile. Options: A) Convert to vertical scroll + cards on mobile. B) Horizontal swipe with scroll-snap. C) Carousel. Never scroll-jack on mobile. Touch gestures must feel native.,"Panels: slate-900/850 alternating. Progress: brand-500 on slate-700. Content: slate-100 text, brand-400 accents. Navigation dots: white/brand-400.",Scroll-jacking: controversial for accessibility. Provide keyboard navigation between panels. Skip button: always visible. Reduced motion: show all panels as vertical stack. Screen reader: panels as sequential sections. Focus management on panel change.,⚠ Moderate. Scroll-jacking: custom JS (no heavy lib needed but careful implementation). 60fps is mandatory. Debounce/throttle scroll events. GPU-accelerate transforms. Parallax: will-change: transform.,"Immersive product discovery. High engagement (avg 2x time-on-page). BUT: users may not realize they can scroll horizontally (add visual affordance: peek next panel, scroll indicator). Keep 4-6 panels max. Navigation dots essential. Mobile: must test extensively.",Don't use on mobile-first sites. Avoid without clear scroll affordance. Not for information-heavy pages (users can't scan). Skip if audience expects conventional navigation. Problematic for accessibility if not implemented carefully.
23,Interactive 3D Configurator,"3d, configurator, customizer, interactive, product, personalize, build-your-own, design-yours, cad, customize","1. Hero: 3D configurator (full-width, interactive) → 2. Feature highlights (synced to config state) → 3. Price/specs (updates in real-time) → 4. Add to cart / Purchase CTA → 5. Gallery of pre-built configs",Inside configurator UI: 'Add to Cart' button (updates with price). Sticky bottom bar: price + CTA. Config summary sidebar. 'Share your design' button. Pre-built configs: 'Start from this'.,"Light: Neutral studio bg (#F5F5F5) for product focus. Config UI: minimal, floating panels. Price: bold brand. Active option: brand-500 ring. Dark: dark studio (#1A1A1A). UI: glass-morphism panels. Price: brand-400. Active: brand-400 ring.","Real-time 3D rendering (Three.js/R3F), material/color swap animation, camera orbit/zoom, light environment reflection, configuration option hover preview, price counter morph, share screenshot generation",Material swap: 300ms crossfade texture. Camera orbit: inertia-based (damping 0.05). Zoom: smooth scroll 200ms. Option select: ring appear 200ms + 3D model update. Price: 400ms morph animation. Screenshot: canvas capture + share API.,"2D fallback with image gallery (swipe between angles/colors). Config options: bottom sheet. Image updates on option change. Simplified options (fewer choices). Touch: pinch-to-zoom on 2D gallery. Performance budget: 2D first, 3D if device capable.",Dark studio: natural for 3D (products look best on dark). UI panels: glass on dark bg. Options: dark theme. Price: brand-400 on dark.,3D: keyboard orbit (arrow keys). Options: radio group pattern. Price: aria-live on change. 2D fallback: alt text per view. Gallery: keyboard navigable. Reduced motion: static angles.,"❌ Heavy. Three.js + models: significant payload. Lazy-load 3D scene after hero renders. Low-poly models. Texture compression (KTX2). Mobile: 2D fallback saves 500KB+. Progressive: show image, enhance to 3D. Target: <5s to interactive.",Increases ownership feeling and conversion. 360° view reduces return rates 35%. Real-time pricing eliminates surprise. Share design = viral loop. Pre-built configs: start point for undecided users. A/B test: 3D configurator vs static gallery.,Don't use without high-quality 3D models. Avoid on mobile-first audiences without 2D fallback. Not for low-cost products (development cost too high). Skip if load time >5s.
24,AI-Driven Dynamic Landing,"ai, dynamic, personalized, adaptive, generative, prompt, demo, try-it, interactive-ai, playground, instant-value",1. Prompt/input hero ('Try it now: type your...') → 2. Generated result preview (live demo) → 3. How it works (3 steps) → 4. Use cases / templates gallery → 5. Pricing → 6. CTA ('Start creating'),Input field IS the CTA (hero). 'Try it' / 'Generate' button. Template gallery: each template is a CTA. After result: 'Sign up to save'. Pricing: standard tier CTAs. Bottom: 'Start for free'.,Light: Dark mode default (compute/AI aesthetic). Input: bright focus ring on dark. Result: brand-accent highlighted. Neon accents: cyan/purple. Steps: lighter section for contrast. Dark: natural dark bg. Input: brand-500 glow. Result: bright text on dark. Gradient accents.,"Typing text effects in input, shimmer/loading during generation, result stream-in (token by token), morphing layouts, particle effects, template gallery hover preview, cursor blink in input",Input cursor: blink 1s infinite. Generate: shimmer loading bar 2s. Result stream: characters appear 30ms interval (like ChatGPT). Template hover: preview fade-in 200ms. Particle bg: 60fps GPU-accelerated. Morphing: 500ms layout transition.,"Input: full-width, large (56px height). Generate: full-width button below input. Results: below input (no split view on mobile). Templates: horizontal scroll. Reduce particle effects. Streaming works great on mobile.","Dark by default. Input: slate-800 bg, brand-500 focus glow. Results: slate-800 card, brand-400 highlights. Steps: slate-850 bg. Templates: slate-800 cards.","Input: proper label, placeholder as hint. Generate button: descriptive text. Streaming result: aria-live='polite'. Templates: keyboard navigable gallery. Loading: aria-busy='true'. Results: semantic output.","⚠ Moderate. AI API call: async, show loading state. Streaming: SSE or WebSocket. Particles: GPU-only, skip on low-end. Template images: lazy-load. LCP: render input + text immediately.","Immediate value demonstration = highest conversion for AI products. 'Show, don't tell' = try before signup. Free generation (1-3) before paywall. Template gallery: helps undecided users. Streaming effect: builds anticipation. A/B test: with vs without free trial generation.","Don't use if AI results are inconsistent/poor. Avoid if API latency >5s (users leave). Not for enterprise AI (they want demos, not playgrounds). Skip if free-tier generation is too costly."
25,Enterprise Gateway,"enterprise, corporate, gateway, solutions, portal, b2b-enterprise, multi-product, segmented, decision-tree",1. Hero (brand video/mission + dual CTA) → 2. Solutions by Industry (tab/grid) → 3. Solutions by Role (persona cards) → 4. Client logos (trust wall) → 5. Case studies preview → 6. Contact Sales CTA,Path selection: 'I am a...' (industry/role selector) routes to relevant content. Contact Sales: primary CTA (sticky). Login: secondary (nav). 'Request Demo': bottom CTA. Case study: 'Read more' per card.,Light: Navy #0F172A + slate palette. Conservative. Gold accents for premium. High integrity design. Logo wall: greyscale. Case studies: white cards. Dark: navy-950 bg. Gold-400 accents. Logos: white. Cards: slate-800.,"Slow-motion video background, logo carousel infinite, tab switching with crossfade, case study card hover lift, path selector animation, scroll-triggered stat counters","Video: 0.5 speed, autoplay muted. Logo carousel: 30s infinite linear. Tabs: content crossfade 200ms. Card hover: translateY(-4px) 200ms. Stats: 2s count-up on scroll. Path selector: slide-down 300ms reveal.",Path selector: dropdown or accordion on mobile. Industry/role: stacked tabs→accordion. Logos: horizontal scroll. Case studies: swipeable cards. Contact Sales: sticky bottom bar. Mega menu: mobile hamburger with sections.,"Navy-950 bg. Slate-100 text. Gold-400 accents. Logo wall: white logos on dark. Cards: slate-800. Conservative, authoritative.","Mega nav: ARIA menu pattern. Path selector: role='listbox'. Stats: aria-label with values. Video: captions, pause control. Logo wall: decorative (aria-hidden) or alt text per logo. Tab panels: standard ARIA tabs.","⚡ Good. Video: compressed, poster first. Logos: optimized SVG. Tabs: minimal JS. Stats: IntersectionObserver. No heavy framework needed.",Path selection reduces bounce (visitors self-segment). 'I am a [role] in [industry]' = personalized journey. Enterprise: lead qualification is the conversion (not signup). Client logos: 5-6 recognizable brands. Case studies: industry-matched. Contact Sales form: fewer fields = more leads.,Don't use for SMB audiences (too corporate). Avoid without real client logos. Not for single-product companies. Skip path selector if <3 distinct segments.
26,Portfolio Grid / Creative Showcase,"portfolio, grid, showcase, gallery, masonry, creative, designer, photographer, agency-work, case-study, projects","1. Hero (name/role + tagline, minimal) → 2. Project grid (masonry layout, filterable) → 3. About/philosophy → 4. Skills/tools → 5. Contact CTA",Project card hover: reveal title + CTA ('View project'). Footer: contact CTA. Filter buttons above grid. Individual project pages linked. About: 'Hire me' / 'Get in touch' CTA.,Light: Neutral bg (white or #FAFAFA) — let work shine. Text: near-black. Accent: minimal (one brand color). Hover overlays: dark 70% + white text. Dark: #0A0A0A bg. Hover: light 20% overlay or glass effect. Minimal UI chrome.,"Image lazy-load with blur-up reveal, hover overlay with slide-in info, lightbox/detail view, masonry layout animation, filter category morph, cursor follower on grid",Blur-up: placeholder 20px→full image 400ms. Hover overlay: opacity 0→1 200ms + text slide-up 30px. Masonry: layout shift 400ms on filter. Filter: items fade-out 200ms→reposition→fade-in 200ms. Lightbox: scale 0.9→1 300ms. Cursor: 60fps follow with lerp.,Grid: single column or 2-column on mobile. No masonry (stack vertically). Filter: horizontal scroll pills. Project cards: full-width images. Tap to view detail (no hover). About: stacked sections.,Dark: natural for portfolios. #0A0A0A bg. Project cards: no bg (image-only). Text: #E5E5E5. Accent: single brand color. Hover: glass overlay.,"Images: alt text per project (descriptive). Filter: aria role='tablist'. Grid: role='list'. Lightbox: focus trap, escape to close. Keyboard: tab between projects. Lazy images: placeholder alt text.","⚠ Moderate. Many images: lazy-load all. Masonry: CSS columns or lightweight JS. Blur-up: tiny placeholder (1KB). Images: WebP, responsive srcset. Lightbox: load full-res on demand. Cursor follower: remove on mobile.",Visuals first — let work speak. Fast loading essential (portfolio visitors have zero patience). Filter by category (helps recruiters/clients find relevant work). 3-4 best projects > 20 mediocre ones. Case study format: problem→process→result. Contact: make it easy.,Don't use for non-visual work. Avoid >20 projects in grid (curate ruthlessly). Not for developer portfolios without visual projects (use project-list pattern instead).
